"Category";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"'s-Hertogenbosch";343;221,1;115;74,1;56;36,1
"Aa en Hunze";13;51,1;1;3,9;0;0
"Aalsmeer";34;106,7;8;25,1;2;6,3
"Aalten";39;143,8;2;7,4;3;11,1
"Achtkarspelen";7;25,1;0;0;0;0
"Alblasserdam";34;168,6;8;39,7;2;9,9
"Albrandswaard";66;257,9;9;35,2;4;15,6
"Alkmaar";190;173,6;49;44,8;19;17,4
"Almelo";79;108,1;20;27,4;3;4,1
"Almere";226;106,7;101;47,7;5;2,4
"Alphen aan den Rijn";128;114,4;52;46,5;13;11,6
"Alphen-Chaam";41;401,4;15;146,9;5;49
"Altena";94;167,9;30;53,6;10;17,9
"Ameland";0;0;0;0;0;0
"Amersfoort";135;85,8;52;33,1;15;9,5
"Amstelveen";246;268,3;48;52,3;28;30,5
"Amsterdam";1419;162,6;452;51,8;107;12,3
"Apeldoorn";212;129,4;43;26,2;28;17,1
"Appingedam";3;25,8;2;17,2;0;0
"Arnhem";195;120,8;56;34,7;17;10,5
"Assen";34;49,6;10;14,6;2;2,9
"Asten";57;340,6;14;83,7;6;35,9
"Baarle-Nassau";4;58,3;1;14,6;0;0
"Baarn";32;128,7;10;40,2;2;8
"Barendrecht";82;168,3;29;59,5;5;10,3
"Barneveld";89;150,7;14;23,7;6;10,2
"Beek";32;201,7;14;88,2;3;18,9
"Beekdaelen";91;252,9;42;116,7;19;52,8
"Beemster";8;79,8;4;39,9;1;10
"Beesel";37;274,4;20;148,3;7;51,9
"Berg en Dal";138;394,4;29;82,9;13;37,2
"Bergeijk";42;225,3;14;75,1;4;21,5
"Bergen (L.)";15;114,6;6;45,9;2;15,3
"Bergen (NH.)";47;157,5;16;53,6;3;10,1
"Bergen op Zoom";70;103,7;20;29,6;5;7,4
"Berkelland";45;102,9;5;11,4;1;2,3
"Bernheze";221;707,3;77;246,4;48;153,6
"Best";47;156,7;31;103,4;8;26,7
"Beuningen";44;169,9;19;73,4;4;15,4
"Beverwijk";65;156,2;15;36;5;12
"Bladel";46;225,5;17;83,4;7;34,3
"Blaricum";20;173,4;6;52;0;0
"Bloemendaal";40;169,7;6;25,5;3;12,7
"Bodegraven-Reeuwijk";34;97,5;7;20,1;2;5,7
"Boekel";84;778,9;31;287,5;21;194,7
"Borger-Odoorn";5;19,6;2;7,8;3;11,7
"Borne";43;184,4;13;55,8;6;25,7
"Borsele";20;88;5;22;0;0
"Boxmeer";82;279,2;18;61,3;12;40,9
"Boxtel";49;159,1;19;61,7;11;35,7
"Breda";381;206,8;138;74,9;50;27,1
"Brielle";25;144,7;12;69,4;0;0
"Bronckhorst";44;122;7;19,4;4;11,1
"Brummen";31;149,4;14;67,5;5;24,1
"Brunssum";62;222,9;32;115;11;39,5
"Bunnik";22;144,8;7;46,1;1;6,6
"Bunschoten";43;196,6;5;22,9;2;9,1
"Buren";31;115,9;11;41,1;4;15
"Capelle aan den IJssel";201;299,3;36;53,6;27;40,2
"Castricum";63;175,1;13;36,1;8;22,2
"Coevorden";43;121,8;12;34;1;2,8
"Cranendonck";146;689,8;58;274;21;99,2
"Cuijk";47;187;11;43,8;7;27,8
"Culemborg";46;158,9;20;69,1;6;20,7
"Dalfsen";62;216,9;15;52,5;6;21
"Dantumadiel";6;31,7;2;10,6;0;0
"De Bilt";91;211;20;46,4;8;18,6
"De Fryske Marren";50;97;13;25,2;5;9,7
"De Ronde Venen";69;155,2;34;76,5;3;6,7
"De Wolden";35;143,9;9;37;0;0
"Delft";97;93,6;37;35,7;6;5,8
"Delfzijl";14;56,8;5;20,3;0;0
"Den Helder";28;49,7;8;14,2;0;0
"Deurne";121;372,6;50;154;14;43,1
"Deventer";145;144;41;40,7;23;22,8
"Diemen";53;172,2;11;35,7;5;16,2
