"Category";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"'s-Hertogenbosch";461;297,2;125;80,6;75;48,4
"Aa en Hunze";14;55;1;3,9;0;0
"Aalsmeer";38;119,3;9;28,3;3;9,4
"Aalten";55;202,8;9;33,2;6;22,1
"Achtkarspelen";11;39,5;0;0;0;0
"Alblasserdam";42;208,3;10;49,6;3;14,9
"Albrandswaard";92;359,5;14;54,7;8;31,3
"Alkmaar";236;215,6;53;48,4;28;25,6
"Almelo";89;121,8;22;30,1;9;12,3
"Almere";400;188,8;123;58,1;26;12,3
"Alphen aan den Rijn";187;167,1;59;52,7;24;21,4
"Alphen-Chaam";46;450,4;18;176,2;5;49
"Altena";123;219,7;31;55,4;11;19,6
"Ameland";0;0;0;0;0;0
"Amersfoort";199;126,5;58;36,9;23;14,6
"Amstelveen";302;329,4;55;60;34;37,1
"Amsterdam";2236;256,2;602;69;248;28,4
"Apeldoorn";381;232,6;83;50,7;48;29,3
"Appingedam";5;42,9;3;25,8;0;0
"Arnhem";274;169,8;64;39,7;25;15,5
"Assen";42;61,2;12;17,5;2;2,9
"Asten";73;436,2;18;107,6;12;71,7
"Baarle-Nassau";23;335,3;9;131,2;2;29,2
"Baarn";56;225,1;11;44,2;8;32,2
"Barendrecht";120;246,3;38;78;12;24,6
"Barneveld";119;201,4;18;30,5;6;10,2
"Beek";43;271;15;94,5;5;31,5
"Beekdaelen";163;453,1;50;139;22;61,2
"Beemster";9;89,8;4;39,9;1;10
"Beesel";41;304,1;20;148,3;8;59,3
"Berg en Dal";153;437,3;29;82,9;16;45,7
"Bergeijk";54;289,7;18;96,6;5;26,8
"Bergen (L.)";23;175,8;7;53,5;2;15,3
"Bergen (NH.)";67;224,5;16;53,6;3;10,1
"Bergen op Zoom";127;188,2;23;34,1;9;13,3
"Berkelland";72;164,6;11;25,1;7;16
"Bernheze";265;848,1;96;307,2;64;204,8
"Best";71;236,8;31;103,4;10;33,4
"Beuningen";67;258,8;19;73,4;5;19,3
"Beverwijk";74;177,8;15;36;10;24
"Bladel";62;304;20;98,1;8;39,2
"Blaricum";26;225,4;8;69,3;2;17,3
"Bloemendaal";48;203,6;7;29,7;5;21,2
"Bodegraven-Reeuwijk";53;152;7;20,1;1;2,9
"Boekel";88;816;35;324,6;21;194,7
"Borger-Odoorn";9;35,2;4;15,7;3;11,7
"Borne";49;210,2;14;60,1;6;25,7
"Borsele";25;109,9;5;22;0;0
"Boxmeer";113;384,7;18;61,3;27;91,9
"Boxtel";80;259,7;23;74,7;13;42,2
"Breda";465;252,3;143;77,6;61;33,1
"Brielle";31;179,4;11;63,7;0;0
"Bronckhorst";69;191,4;17;47,2;7;19,4
"Brummen";35;168,6;17;81,9;5;24,1
"Brunssum";93;334,3;43;154,6;13;46,7
"Bunnik";40;263,3;9;59,2;1;6,6
"Bunschoten";61;279;9;41,2;7;32
"Buren";47;175,8;16;59,8;7;26,2
"Capelle aan den IJssel";272;405,1;49;73;51;75,9
"Castricum";76;211,2;15;41,7;9;25
"Coevorden";56;158,7;13;36,8;2;5,7
"Cranendonck";166;784,3;63;297,6;36;170,1
"Cuijk";70;278,5;12;47,7;9;35,8
"Culemborg";59;203,8;21;72,5;7;24,2
"Dalfsen";77;269,4;16;56;6;21
"Dantumadiel";6;31,7;2;10,6;0;0
"De Bilt";151;350,2;25;58;19;44,1
"De Fryske Marren";61;118,3;16;31;5;9,7
"De Ronde Venen";91;204,7;39;87,7;11;24,7
"De Wolden";44;180,9;11;45,2;5;20,6
"Delft";136;131,2;38;36,7;12;11,6
"Delfzijl";17;68,9;6;24,3;0;0
"Den Helder";37;65,7;12;21,3;1;1,8
"Deurne";158;486,5;54;166,3;22;67,7
"Deventer";249;247,2;46;45,7;32;31,8
"Diemen";98;318,4;17;55,2;14;45,5
"Dinkelland";71;268,2;19;71,8;9;34
"Doesburg";32;288,9;9;81,2;6;54,2
"Doetinchem";94;162;24;41,4;15;25,9
"Dongen";75;286;19;72,4;12;45,8
"Dordrecht";367;307,6;82;68,7;29;24,3
"Drechterland";43;218,1;4;20,3;8;40,6
"Drimmelen";65;238,3;18;66;8;29,3
"Dronten";112;269,4;29;69,8;11;26,5
"Druten";111;586,7;24;126,9;8;42,3
"Duiven";46;183,1;14;55,7;6;23,9
"Echt-Susteren";88;278,3;39;123,3;15;47,4
"Edam-Volendam";93;256,9;23;63,5;3;8,3
"Ede";200;170,7;54;46,1;20;17,1
"Eemnes";17;183,8;2;21,6;1;10,8
"Eersel";64;331,4;26;134,6;9;46,6
"Eijsden-Margraten";159;617,4;53;205,8;26;101
"Eindhoven";482;205,6;173;73,8;82;35
"Elburg";122;526,7;24;103,6;8;34,5
"Emmen";101;94,3;20;18,7;11;10,3
"Enkhuizen";29;156;18;96,8;4;21,5
"Enschede";212;132,7;52;32,6;21;13,1
"Epe";131;394,7;42;126,6;22;66,3
"Ermelo";120;444,4;26;96,3;20;74,1
"Etten-Leur";173;394,3;40;91,2;30;68,4
"Geertruidenberg";42;195;11;51,1;6;27,9
"Geldrop-Mierlo";106;266,8;33;83,1;16;40,3
"Gemert-Bakel";175;569,6;79;257,1;30;97,6
"Gennep";55;325;16;94,5;10;59,1
"Gilze en Rijen";73;276,1;19;71,9;15;56,7
"Goeree-Overflakkee";252;503,5;53;105,9;33;65,9
"Goes";69;181,2;11;28,9;11;28,9
"Goirle";70;292,8;32;133,9;17;71,1
"Gooise Meren";103;177,5;23;39,6;8;13,8
"Gorinchem";147;397,2;18;48,6;14;37,8
"Gouda";237;322,7;38;51,7;40;54,5
"Grave";69;554,8;21;168,9;10;80,4
"Groningen";164;70,4;18;7,7;3;1,3
"Gulpen-Wittem";75;529,1;21;148,1;13;91,7
"Haaksbergen";54;222,1;14;57,6;7;28,8
"Haaren";49;341;18;125,3;7;48,7
"Haarlem";267;163,8;60;36,8;52;31,9
"Haarlemmermeer";259;166;65;41,7;26;16,7
"Halderberge";55;181,7;13;42,9;6;19,8
"Hardenberg";170;279;23;37,7;8;13,1
"Harderwijk";141;291,1;38;78,5;17;35,1
"Hardinxveld-Giessendam";33;180,4;2;10,9;2;10,9
"Harlingen";17;108,1;4;25,4;1;6,4
"Hattem";41;335,7;15;122,8;5;40,9
"Heemskerk";79;201,6;26;66,3;10;25,5
"Heemstede";88;323,1;10;36,7;32;117,5
"Heerde";188;1011,5;54;290,5;27;145,3
"Heerenveen";89;176,3;13;25,7;19;37,6
"Heerhugowaard";138;239,6;27;46,9;8;13,9
"Heerlen";354;406,6;120;137,8;51;58,6
"Heeze-Leende";60;371,5;15;92,9;8;49,5
"Heiloo";47;196;9;37,5;8;33,4
"Hellendoorn";94;261,7;8;22,3;9;25,1
"Hellevoetsluis";63;156,9;16;39,8;2;5
"Helmond";342;370;112;121,2;40;43,3
"Hendrik-Ido-Ambacht";45;144,2;8;25,6;5;16
"Hengelo";119;146,6;21;25,9;19;23,4
"Het Hogeland";29;60,6;7;14,6;3;6,3
"Heumen";70;425,5;17;103,3;9;54,7
"Heusden";135;302;44;98,4;22;49,2
"Hillegom";33;148,6;8;36;2;9
"Hilvarenbeek";41;264,3;9;58;6;38,7
"Hilversum";188;206,9;29;31,9;25;27,5
"Hoeksche Waard";289;330,4;76;86,9;20;22,9
"Hof van Twente";62;177,1;15;42,8;4;11,4
"Hollands Kroon";62;128;26;53,7;6;12,4
"Hoogeveen";89;159,8;19;34,1;8;14,4
"Hoorn";87;118,8;34;46,4;12;16,4
"Horst aan de Maas";121;285,2;41;96,6;24;56,6
"Houten";124;247,3;24;47,9;13;25,9
"Huizen";124;300,4;21;50,9;10;24,2
"Hulst";29;105,2;9;32,7;5;18,1
"IJsselstein";132;387;35;102,6;32;93,8
"Kaag en Braassem";27;98,9;6;22;2;7,3
"Kampen";328;603,6;59;108,6;26;47,8
"Kapelle";22;173,4;3;23,6;1;7,9
"Katwijk";187;284,4;29;44,1;13;19,8
"Kerkrade";195;426,3;62;135,5;32;70
"Koggenland";34;149,4;6;26,4;6;26,4
"Krimpen aan den IJssel";73;247,2;10;33,9;7;23,7
"Krimpenerwaard";152;269,9;45;79,9;24;42,6
"Laarbeek";114;506;40;177,5;26;115,4
"Landerd";138;877,3;39;247,9;21;133,5
"Landgraaf";133;355,1;52;138,8;13;34,7
"Landsmeer";23;200,1;3;26,1;3;26,1
"Langedijk";45;159,8;16;56,8;3;10,7
"Lansingerland";173;277,3;41;65,7;23;36,9
"Laren";24;212,9;8;71;2;17,7
"Leeuwarden";57;45,9;33;26,6;6;4,8
"Leiden";144;115;39;31,2;18;14,4
"Leiderdorp";31;114,6;12;44,3;6;22,2
"Leidschendam-Voorburg";107;139,8;20;26,1;13;17
"Lelystad";162;206,1;62;78,9;26;33,1
"Leudal";177;493,1;51;142,1;31;86,4
"Leusden";47;154,6;9;29,6;4;13,2
"Lingewaard";110;236;30;64,4;10;21,5
"Lisse";26;113,3;7;30,5;2;8,7
"Lochem";87;257,9;13;38,5;14;41,5
"Loon op Zand";55;235;24;102,5;6;25,6
"Lopik";63;435,4;19;131,3;8;55,3
"Loppersum";2;21;0;0;0;0
"Losser";23;101,4;7;30,9;0;0
"Maasdriel";48;191,7;15;59,9;7;28
"Maasgouw";101;421,5;27;112,7;12;50,1
"Maassluis";57;171,6;19;57,2;3;9
"Maastricht";821;675,4;179;147,3;124;102
"Medemblik";69;153;18;39,9;6;13,3
"Meerssen";100;531;21;111,5;12;63,7
"Meierijstad";537;661,4;210;258,6;129;158,9
"Meppel";33;97,3;8;23,6;4;11,8
"Middelburg";58;118,8;18;36,9;10;20,5
"Midden-Delfland";18;93,1;4;20,7;0;0
"Midden-Drenthe";22;66,3;6;18,1;0;0
"Midden-Groningen";31;51;6;9,9;3;4,9
"Mill en Sint Hubert";36;329;9;82,3;5;45,7
"Moerdijk";74;199,3;14;37,7;8;21,5
"Molenlanden";110;250,4;18;41;8;18,2
"Montferland";87;241,6;18;50;8;22,2
"Montfoort";38;273;12;86,2;5;35,9
"Mook en Middelaar";35;446;6;76,5;5;63,7
"Neder-Betuwe";120;493;34;139,7;20;82,2
"Nederweert";50;293,7;31;182,1;7;41,1
"Nieuwegein";123;193,8;41;64,6;14;22,1
"Nieuwkoop";47;163,1;9;31,2;4;13,9
"Nijkerk";54;125,1;22;51;3;6,9
"Nijmegen";586;329,8;125;70,3;61;34,3
"Nissewaard";169;198,3;53;62,2;17;19,9
"Noardeast-Fryslân";25;55,2;6;13,3;4;8,8
"Noord-Beveland";8;108,2;1;13,5;0;0
"Noordenveld";18;57,6;4;12,8;1;3,2
"Noordoostpolder";77;162,9;14;29,6;9;19
"Noordwijk";45;103,4;17;39,1;2;4,6
"Nuenen, Gerwen en Nederwetten";53;226,7;18;77;9;38,5
"Nunspeet";209;750,6;50;179,6;20;71,8
"Oegstgeest";40;161;8;32,2;3;12,1
"Oirschot";58;309,8;13;69,4;9;48,1
"Oisterwijk";62;236,3;22;83,8;11;41,9
"Oldambt";13;34;7;18,3;1;2,6
"Oldebroek";155;655,5;39;164,9;19;80,4
"Oldenzaal";50;157,1;14;44;7;22
"Olst-Wijhe";49;268,5;12;65,7;8;43,8
"Ommen";50;277,7;9;50;2;11,1
"Oost Gelre";53;178,9;16;54;6;20,3
"Oosterhout";117;209;47;83,9;16;28,6
"Ooststellingwerf";7;27,5;3;11,8;0;0
"Oostzaan";26;267,1;11;113;2;20,5
"Opmeer";8;67,6;1;8,4;1;8,4
"Opsterland";23;77,3;7;23,5;0;0
"Oss";457;497,1;164;178,4;86;93,5
"Oude IJsselstreek";75;190,4;18;45,7;9;22,8
"Ouder-Amstel";33;235,2;5;35,6;0;0
"Oudewater";53;518,3;25;244,5;8;78,2
"Overbetuwe";123;256,7;56;116,9;15;31,3
"Papendrecht";61;189,8;8;24,9;6;18,7
"Peel en Maas";264;608;143;329,3;62;142,8
"Pekela";5;41;4;32,8;0;0
"Pijnacker-Nootdorp";116;209,7;23;41,6;15;27,1
"Purmerend";211;259,7;64;78,8;32;39,4
"Putten";24;99,5;7;29;0;0
"Raalte";148;392,5;25;66,3;18;47,7
"Reimerswaal";29;127,6;4;17,6;2;8,8
"Renkum";65;207;14;44,6;5;15,9
"Renswoude";19;348,8;5;91,8;5;91,8
"Reusel-De Mierden";23;175,4;11;83,9;2;15,3
"Rheden";105;240,1;33;75,5;14;32
"Rhenen";36;178,9;10;49,7;6;29,8
"Ridderkerk";130;281,4;37;80,1;14;30,3
"Rijssen-Holten";178;466,2;30;78,6;16;41,9
"Rijswijk";117;214,9;33;60,6;20;36,7
"Roerdalen";47;228,5;27;131,2;7;34
"Roermond";127;218;58;99,6;22;37,8
"Roosendaal";208;269,3;27;35;20;25,9
"Rotterdam";2205;338,5;481;73,8;299;45,9
"Rozendaal";3;176;1;58,7;0;0
"Rucphen";67;292,9;9;39,3;9;39,3
"s-Gravenhage";1304;239,2;294;53,9;197;36,1
"Schagen";73;157,1;19;40,9;10;21,5
"Scherpenzeel";26;263,2;4;40,5;2;20,2
"Schiedam";212;269,2;53;67,3;22;27,9
"Schiermonnikoog";0;0;0;0;0;0
"Schouwen-Duiveland";57;168,4;11;32,5;3;8,9
"Simpelveld";42;398;18;170,6;5;47,4
"Sint Anthonis";62;531,2;20;171,4;11;94,2
"Sint-Michielsgestel";101;345,9;36;123,3;15;51,4
"Sittard-Geleen";393;425,2;113;122,3;58;62,8
"Sliedrecht";55;218,1;9;35,7;5;19,8
"Sluis";17;73,2;8;34,5;4;17,2
"Smallingerland";55;97,9;9;16;5;8,9
"Soest";80;171,6;23;49,3;11;23,6
"Someren";99;510,9;33;170,3;8;41,3
"Son en Breugel";70;404,1;31;179;14;80,8
"Stadskanaal";7;22,1;2;6,3;1;3,2
"Staphorst";59;344,1;8;46,7;4;23,3
"Stede Broec";48;220,9;19;87,4;5;23
"Steenbergen";82;334,7;13;53,1;13;53,1
"Steenwijkerland";87;197,1;14;31,7;5;11,3
"Stein";114;456;43;172;15;60
"Stichtse Vecht";107;164,8;32;49,3;10;15,4
"Súdwest-Fryslân";101;112,2;17;18,9;3;3,3
"Terneuzen";106;194,7;25;45,9;4;7,3
"Terschelling";2;40,9;0;0;0;0
"Texel";10;73,7;4;29,5;1;7,4
"Teylingen";51;136,3;12;32,1;2;5,3
"Tholen";138;535,8;40;155,3;15;58,2
"Tiel";107;253,8;41;97,2;18;42,7
"Tilburg";716;325,8;244;111;158;71,9
"Tubbergen";79;371,3;12;56,4;5;23,5
"Twenterand";59;174,9;12;35,6;2;5,9
"Tynaarlo";38;112,2;9;26,6;0;0
"Tytsjerksteradiel";15;46,8;4;12,5;1;3,1
"Uden";257;610,1;115;273;63;149,6
"Uitgeest";22;161,2;5;36,6;1;7,3
"Uithoorn";49;166,3;16;54,3;2;6,8
"Urk";77;366,1;22;104,6;4;19
"Utrecht";954;266,7;251;70,2;101;28,2
"Utrechtse Heuvelrug";104;209,7;29;58,5;14;28,2
"Vaals";30;297,1;10;99;1;9,9
"Valkenburg aan de Geul";83;507,3;17;103,9;7;42,8
"Valkenswaard";174;557,7;19;60,9;37;118,6
"Veendam";8;29,2;2;7,3;0;0
"Veenendaal";164;246,6;47;70,7;10;15
"Veere";26;118,8;6;27,4;2;9,1
"Veldhoven";122;268,4;31;68,2;16;35,2
"Velsen";257;374,3;31;45,2;38;55,3
"Venlo";295;289,8;126;123,8;61;59,9
"Venray";101;231,6;37;84,9;17;39
"Vijfheerenlanden";242;425,9;34;59,8;37;65,1
"Vlaardingen";249;339;41;55,8;27;36,8
"Vlieland";0;0;0;0;0;0
"Vlissingen";50;112,7;9;20,3;5;11,3
"Voerendaal";45;360,8;17;136,3;7;56,1
"Voorschoten";60;234,3;9;35,2;9;35,2
"Voorst";47;191,5;17;69,3;11;44,8
"Vught";100;376,6;41;154,4;18;67,8
"Waadhoeke";97;210,5;11;23,9;12;26
"Waalre";29;166,2;7;40,1;5;28,6
"Waalwijk";146;300,3;33;67,9;31;63,8
"Waddinxveen";64;218,5;16;54,6;6;20,5
"Wageningen";47;118,5;20;50,4;9;22,7
"Wassenaar";49;186,9;8;30,5;12;45,8
"Waterland";30;172,2;16;91,8;4;23
"Weert";128;255,5;66;131,7;13;25,9
"Weesp";73;370;9;45,6;11;55,8
"West Betuwe";173;337,9;42;82;25;48,8
"West Maas en Waal";80;414,1;17;88;9;46,6
"Westerkwartier";57;89,9;14;22,1;4;6,3
"Westerveld";32;164,4;9;46,2;4;20,6
"Westervoort";35;233,8;12;80,1;5;33,4
"Westerwolde";6;23,3;5;19,4;0;0
"Westland";252;228,3;58;52,6;27;24,5
"Weststellingwerf";28;108;3;11,6;4;15,4
"Westvoorne";25;169,7;6;40,7;0;0
"Wierden";48;196,4;5;20,5;6;24,5
"Wijchen";137;333,1;42;102,1;12;29,2
"Wijdemeren";28;114,9;8;32,8;0;0
"Wijk bij Duurstede";32;133,8;9;37,6;1;4,2
"Winterswijk";40;138,6;5;17,3;3;10,4
"Woensdrecht";62;283,3;5;22,8;7;32
"Woerden";161;307,9;47;89,9;19;36,3
"Wormerland";44;270;20;122,7;6;36,8
"Woudenberg";30;224,5;9;67,4;2;15
"Zaanstad";380;242,5;111;70,8;45;28,7
"Zaltbommel";89;307,9;20;69,2;9;31,1
"Zandvoort";32;187;10;58,4;8;46,7
"Zeewolde";41;181;12;53;5;22,1
"Zeist";162;249,5;36;55,4;17;26,2
"Zevenaar";96;219,5;43;98,3;15;34,3
"Zoetermeer";184;146,9;47;37,5;12;9,6
"Zoeterwoude";11;127,7;3;34,8;1;11,6
"Zuidplas";126;287,1;23;52,4;19;43,3
"Zundert";71;325,4;20;91,7;10;45,8
"Zutphen";91;189,8;26;54,2;13;27,1
"Zwartewaterland";139;612,6;35;154,3;18;79,3
"Zwijndrecht";141;315,1;23;51,4;15;33,5
"Zwolle";346;268,6;53;41,1;46;35,7
