"Category";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"'s-Hertogenbosch";332;214;115;74,1;55;35,5
"Aa en Hunze";11;43,2;1;3,9;0;0
"Aalsmeer";32;100,4;7;22;2;6,3
"Aalten";34;125,4;2;7,4;3;11,1
"Achtkarspelen";7;25,1;0;0;0;0
"Alblasserdam";30;148,8;8;39,7;2;9,9
"Albrandswaard";64;250,1;9;35,2;3;11,7
"Alkmaar";186;169,9;49;44,8;19;17,4
"Almelo";76;104;20;27,4;3;4,1
"Almere";206;97,2;101;47,7;5;2,4
"Alphen aan den Rijn";124;110,8;51;45,6;11;9,8
"Alphen-Chaam";40;391,7;15;146,9;4;39,2
"Altena";92;164,3;29;51,8;9;16,1
"Ameland";0;0;0;0;0;0
"Amersfoort";133;84,6;52;33,1;15;9,5
"Amstelveen";232;253;48;52,3;27;29,4
"Amsterdam";1377;157,8;453;51,9;108;12,4
"Apeldoorn";208;127;42;25,6;26;15,9
"Appingedam";3;25,8;2;17,2;0;0
"Arnhem";192;119;56;34,7;16;9,9
"Assen";34;49,6;10;14,6;2;2,9
"Asten";54;322,7;14;83,7;6;35,9
"Baarle-Nassau";4;58,3;1;14,6;0;0
"Baarn";31;124,6;10;40,2;1;4
"Barendrecht";78;160,1;29;59,5;5;10,3
"Barneveld";85;143,9;13;22;6;10,2
"Beek";29;182,8;14;88,2;3;18,9
"Beekdaelen";86;239;40;111,2;18;50
"Beemster";8;79,8;4;39,9;1;10
"Beesel";35;259,6;20;148,3;7;51,9
"Berg en Dal";135;385,8;29;82,9;13;37,2
"Bergeijk";41;220;14;75,1;4;21,5
"Bergen (L.)";13;99,4;6;45,9;2;15,3
"Bergen (NH.)";46;154,1;16;53,6;3;10,1
"Bergen op Zoom";66;97,8;20;29,6;4;5,9
"Berkelland";44;100,6;5;11,4;1;2,3
"Bernheze";215;688,1;77;246,4;39;124,8
"Best";46;153,4;31;103,4;8;26,7
"Beuningen";43;166,1;19;73,4;4;15,4
"Beverwijk";61;146,6;15;36;5;12
"Bladel";44;215,7;16;78,5;7;34,3
"Blaricum";20;173,4;6;52;0;0
"Bloemendaal";38;161,2;6;25,5;3;12,7
