"Category";"Zkh opname per 100.000";"Zkh opname";"Meldingen per 100.000";"Meldingen"
"'s-Hertogenbosch";68,3;106;180,5;280
"Aa en Hunze";3,9;1;35,4;9
"Aalsmeer";22;7;87,9;28
"Aalten";3,7;1;84,8;23
"Achtkarspelen";0;0;18;5
"Alblasserdam";39,7;8;119;24
"Albrandswaard";31,3;8;222,8;57
"Alkmaar";41,1;45;145,3;159
"Almelo";24,6;18;87,6;64
"Almere";43;91;72,7;154
"Alphen aan den Rijn";42,9;48;91,2;102
"Alphen-Chaam";146,9;15;391,7;40
"Altena";44,7;25;146,5;82
"Ameland";0;0;0;0
"Amersfoort";30,5;48;73,1;115
"Amstelveen";45,8;42;214,9;197
"Amsterdam";40,7;355;133,6;1166
"Apeldoorn";22,6;37;95,8;157
"Appingedam";17,2;2;17,2;2
"Arnhem";31;50;87,4;141
"Assen";14,6;10;42,3;29
"Asten";65,7;11;233,1;39
"Baarle-Nassau";14,6;1;58,3;4
"Baarn";28,1;7;100,5;25
"Barendrecht";55,4;27;139,6;68
"Barneveld";20,3;12;118,5;70
"Beek";75,6;12;151,2;24
"Beekdaelen";100,1;36;189;68
"Beemster";39,9;4;79,8;8
"Beesel";140,9;19;229,9;31
"Berg en Dal";82,9;29;340,1;119
"Bergeijk";53,7;10;177,1;33
"Bergen (L.)";45,9;6;76,4;10
"Bergen (NH.)";53,6;16;150,8;45
"Bergen op Zoom";25,2;17;80;54
"Berkelland";4,6;2;66,3;29
"Bernheze";243,2;76;598,5;187
"Best";90;27;150,1;45
"Beuningen";69,5;18;142,9;37
"Beverwijk";33,6;14;132,2;55
"Bladel";68,6;14;186,3;38
"Blaricum";43,3;5;147,4;17
"Bloemendaal";21,2;5;157;37
"Bodegraven-Reeuwijk";20,1;7;80,3;28
"Boekel";268,9;29;686,2;74
"Borger-Odoorn";7,8;2;15,7;4
"Borne";55,8;13;167,3;39
"Borsele";17,6;4;74,8;17
"Boxmeer";57,9;17;207,7;61
"Boxtel";55,2;17;126,6;39
