"Category";"Zkh opname per 100.000";"Zkh opname";"Meldingen per 100.000";"Meldingen"
"Breda";73,8;136;193,2;356
"Brielle";63,7;11;133,1;23
"Bronckhorst";13,9;5;72,1;26
"Brummen";43,4;9;91,5;19
"Brunssum";115;32;190,5;53
"Bunnik";46,1;7;125,1;19
"Bunschoten";18,3;4;109,8;24
"Buren";26,2;7;78,5;21
"Capelle aan den IJssel";46,2;31;227,8;153
"Castricum";36,1;13;147,3;53
"Coevorden";25,5;9;113,3;40
"Cranendonck";264,6;56;590,6;125
"Cuijk";35,8;9;147,2;37
"Culemborg";69,1;20;127,8;37
"Dalfsen";52,5;15;171,4;49
"Dantumadiel";10,6;2;31,7;6
"De Bilt";44,1;19;178,6;77
"De Fryske Marren";25,2;13;81,4;42
"De Ronde Venen";58,5;26;119,2;53
"De Wolden";32,9;8;98,7;24
"Delft";34,7;36;80,1;83
"Delfzijl";20,3;5;52,7;13
"Den Helder";14,2;8;44,4;25
"Deurne";147,8;48;329,5;107
"Deventer";34,8;35;108,2;109
"Diemen";13;4;65;20
"Dinkelland";64,2;17;222,9;59
"Doesburg";45,1;5;135,4;15
"Doetinchem";17,2;10;93,1;54
"Dongen";57,2;15;194,5;51
"Dordrecht";51,1;61;125,7;150
"Drechterland";10,1;2;162,3;32
"Drimmelen";62,3;17;154;42
"Dronten";45,7;19;134,7;56
"Druten";100,4;19;354,2;67
"Duiven";39,8;10;107,5;27
"Echt-Susteren";110,7;35;196,1;62
"Edam-Volendam";52,5;19;124,3;45
"Ede";41,8;49;97,3;114
"Eemnes";10,8;1;108,1;10
"Eersel";98,4;19;207,1;40
"Eijsden-Margraten";178,6;46;407,7;105
"Eindhoven";52;122;125,4;294
"Elburg";47,5;11;254,7;59
"Emmen";12,1;13;48,6;52
"Enkhuizen";91,4;17;134,5;25
"Enschede";28,8;46;84,5;135
"Epe";54,2;18;207,9;69
"Ermelo";59,2;16;251,8;68
"Etten-Leur";82;36;246,1;108
"Geertruidenberg";41,8;9;92,9;20
"Geldrop-Mierlo";57,9;23;158,6;63
"Gemert-Bakel";214,8;66;432,9;133
"Gennep";82,7;14;224,5;38
"Gilze en Rijen";64,3;17;189,1;50
"Goeree-Overflakkee";91,9;46;421,6;211
"Goes";23,6;9;105;40
"Goirle";100,4;24;242,6;58
"Gooise Meren";36,2;21;122,3;71
"Gorinchem";37,8;14;267,5;99
"Gouda";39,5;29;179,7;132
"Grave";136,7;17;321,6;40
"Groningen";6,9;16;57,5;134
"Gulpen-Wittem";91,7;13;268,1;38
"Haaksbergen";53,5;13;160,4;39
"Haaren";104,4;15;208,8;30
"Haarlem";30,7;50;129,5;211
"Haarlemmermeer";32,7;51;96,8;151
"Halderberge";36,3;11;142;43
"Hardenberg";29,5;18;190,4;116
"Harderwijk";31;15;123,9;60
"Hardinxveld-Giessendam";5,5;1;136,6;25
"Harlingen";12,7;2;63,6;10
"Hattem";81,9;10;270,2;33
"Heemskerk";53,6;21;171;67
"Heemstede";29,4;8;282,7;77
"Heerde";129,1;24;457,3;85
"Heerenveen";23,8;12;108,9;55
"Heerhugowaard";38,2;22;132;76
"Heerlen";105,7;92;217,1;189
"Heeze-Leende";74,3;12;235,3;38
"Heiloo";37,5;9;133,5;32
"Hellendoorn";19,5;7;114,1;41
"Hellevoetsluis";27,4;11;117;47
"Helmond";71,4;66;223,9;207
"Hendrik-Ido-Ambacht";16;5;70,5;22
"Hengelo";19,7;16;119,5;97
"Het Hogeland";14,6;7;46;22
"Heumen";97,3;16;255,3;42
"Heusden";80,5;36;172,3;77
"Hillegom";27;6;90,1;20
"Hilvarenbeek";38,7;6;174;27
"Hilversum";23,1;21;70,4;64
"Hoeksche Waard";73,2;64;169,2;148
"Hof van Twente";40;14;134,2;47
"Hollands Kroon";53,7;26;99,1;48
"Hoogeveen";18;10;71,8;40
"Hoorn";31,4;23;69,6;51
"Horst aan de Maas";94,3;40;190,9;81
"Houten";35,9;18;171,5;86
"Huizen";41,2;17;116,3;48
"Hulst";29;8;87,1;24
"IJsselstein";88;30;196,4;67
"Kaag en Braassem";22;6;51,3;14
"Kampen";86,5;47;360,7;196
"Kapelle";15,8;2;118,2;15
"Katwijk";25,9;17;111;73
"Kerkrade";100,6;46;194,6;89
"Koggenland";26,4;6;105,5;24
"Krimpen aan den IJssel";20,3;6;125,3;37
"Krimpenerwaard";65,7;37;161,6;91
"Laarbeek";137,6;31;310,7;70
"Landerd";178;28;584,9;92
"Landgraaf";96,1;36;213,6;80
"Landsmeer";26,1;3;147,9;17
"Langedijk";53,3;15;120,8;34
"Lansingerland";48,1;30;187,5;117
"Laren";71;8;177,4;20
"Leeuwarden";25;31;37,9;47
"Leiden";24,8;31;71,1;89
"Leiderdorp";33,3;9;66,5;18
"Leidschendam-Voorburg";22,2;17;70,5;54
"Lelystad";53,4;42;97,9;77
"Leudal";144,9;52;328,7;118
"Leusden";23;7;98,7;30
"Lingewaard";51,5;24;120,2;56
"Lisse";21,8;5;56,6;13
"Lochem";26,7;9;118,6;40
"Loon op Zand";85,4;20;179,4;42
"Lopik";117,5;17;193,5;28
"Loppersum";0;0;21;2
"Losser";26,4;6;66,1;15
"Maasdriel";59,9;15;99,9;25
"Maasgouw";87,6;21;204,5;49
"Maassluis";42,1;14;111,4;37
"Maastricht";105,3;128;322,5;392
"Medemblik";31;14;106,4;48
"Meerssen";69;13;254,9;48
"Meierijstad";203,2;165;458,1;372
"Meppel";14,7;5;70,8;24
"Middelburg";26,6;13;69,7;34
"Midden-Delfland";15,5;3;56,9;11
"Midden-Drenthe";18,1;6;51,2;17
"Midden-Groningen";9,9;6;32,9;20
"Mill en Sint Hubert";82,3;9;173,7;19
"Moerdijk";24,2;9;107,7;40
"Molenlanden";36,4;16;159,3;70
"Montferland";22,2;8;88,9;32
"Montfoort";86,2;12;208,3;29
"Mook en Middelaar";63,7;5;280,4;22
"Neder-Betuwe";123,2;30;246,5;60
"Nederweert";158,6;27;223,2;38
"Nieuwegein";45,7;29;100,8;64
"Nieuwkoop";24,3;7;100,7;29
"Nijkerk";48,6;21;95;41
"Nijmegen";61,3;109;208,2;370
"Nissewaard";37,5;32;113,8;97
"Noardeast-Fryslân";11;5;48,6;22
"Noord-Beveland";13,5;1;67,6;5
"Noordenveld";6,4;2;35,2;11
"Noordoostpolder";19;9;69,8;33
"Noordwijk";27,6;12;59,7;26
"Nuenen, Gerwen en Nederwetten";55,6;13;145,4;34
"Nunspeet";100,6;28;366,3;102
"Oegstgeest";24,2;6;108,7;27
"Oirschot";53,4;10;186,9;35
"Oisterwijk";61;16;175,3;46
"Oldambt";5,2;2;15,7;6
"Oldebroek";93;22;300,3;71
"Oldenzaal";44;14;122,5;39
"Olst-Wijhe";49,3;9;158,9;29
"Ommen";38,9;7;177,7;32
"Oost Gelre";20,3;6;114,8;34
"Oosterhout";60,7;34;126,8;71
"Ooststellingwerf";3,9;1;7,9;2
"Oostzaan";82,2;8;174,7;17
"Opmeer";8,4;1;33,8;4
"Opsterland";16,8;5;53,8;16
"Oss";121,8;112;340,5;313
"Oude IJsselstreek";17,8;7;83,8;33
"Ouder-Amstel";35,6;5;156,8;22
"Oudewater";205,4;21;381,4;39
"Overbetuwe";108,5;52;187,9;90
"Papendrecht";21,8;7;118,3;38
"Peel en Maas";306,3;133;495,2;215
"Pekela";32,8;4;32,8;4
"Pijnacker-Nootdorp";32,5;18;97,6;54
"Purmerend";67,7;55;165;134
"Putten";12,4;3;66,4;16
"Raalte";53;20;135,2;51
"Reimerswaal";17,6;4;88;20
"Renkum";44,6;14;111,5;35
"Renswoude";73,4;4;183,6;10
"Reusel-De Mierden";53,4;7;106,8;14
"Rheden";70,9;31;125,8;55
"Rhenen";14,9;3;64,6;13
"Ridderkerk";60,6;28;147,2;68
"Rijssen-Holten";57,6;22;186;71
"Rijswijk";31,2;17;91,9;50
"Roerdalen";121,5;25;175;36
"Roermond";82,4;48;159,6;93
"Roosendaal";23,3;18;151,5;117
"Rotterdam";42,2;275;181,2;1180
"Rozendaal";58,7;1;117,3;2
"Rucphen";30,6;7;153;35
"s-Gravenhage";36,7;200;106,6;581
"Schagen";34,4;16;118,3;55
"Scherpenzeel";30,4;3;161,9;16
"Schiedam";38,1;30;99,1;78
"Schiermonnikoog";0;0;0;0
"Schouwen-Duiveland";26,6;9;67,9;23
"Simpelveld";161,1;17;265,4;28
"Sint Anthonis";154,2;18;428,4;50
"Sint-Michielsgestel";92,5;27;212,3;62
"Sittard-Geleen";98,5;91;234,8;217
"Sliedrecht";23,8;6;115;29
"Sluis";30,2;7;60,3;14
"Smallingerland";10,7;6;44,5;25
"Soest";40,8;19;124,4;58
"Someren";123,9;24;335,5;65
"Son en Breugel";144,3;25;288,7;50
"Stadskanaal";6,3;2;9,5;3
"Staphorst";40,8;7;215,8;37
"Stede Broec";73,6;16;170,2;37
"Steenbergen";44,9;11;183,7;45
"Steenwijkerland";22,7;10;104,2;46
"Stein";144;36;272;68
"Stichtse Vecht";40;26;95,5;62
"Súdwest-Fryslân";17,8;16;55,6;50
"Terneuzen";34,9;19;132,3;72
"Terschelling";0;0;20,5;1
"Texel";22,1;3;73,7;10
"Teylingen";32,1;12;77,5;29
"Tholen";132;34;388,2;100
"Tiel";80,6;34;149,4;63
"Tilburg";71,9;158;216,6;476
"Tubbergen";47;10;282;60
"Twenterand";26,7;9;109,7;37
"Tynaarlo";20,7;7;91,5;31
"Tytsjerksteradiel";12,5;4;43,7;14
"Uden";208,9;88;498,6;210
"Uitgeest";22;3;117,2;16
"Uithoorn";40,7;12;108,6;32
"Urk";90,3;19;194,9;41
"Utrecht";43,6;156;149;533
"Utrechtse Heuvelrug";42,3;21;127;63
"Vaals";89,1;9;188,1;19
"Valkenburg aan de Geul";79,5;13;281,2;46
"Valkenswaard";41,7;13;288,5;90
"Veendam";7,3;2;25,6;7
"Veenendaal";45,1;30;105,3;70
"Veere";22,8;5;86,8;19
"Veldhoven";46,2;21;145,2;66
"Velsen";36,4;25;246,1;169
"Venlo";111;113;187,6;191
"Venray";80,3;35;155,9;68
"Vijfheerenlanden";35,2;20;248,2;141
"Vlaardingen";36,8;27;167,5;123
"Vlieland";0;0;0;0
"Vlissingen";18;8;96,9;43
"Voerendaal";104,2;13;184,4;23
"Voorschoten";35,2;9;89,8;23
"Voorst";40,7;10;167;41
"Vught";131,8;35;271,1;72
"Waadhoeke";13;6;119,4;55
"Waalre";28,6;5;114,6;20
"Waalwijk";47,3;23;193,3;94
"Waddinxveen";37,6;11;105,8;31
"Wageningen";27,7;11;65,5;26
"Wassenaar";26,7;7;110,6;29
"Waterland";68,9;12;120,5;21
"Weert";109,8;55;187,6;94
"Weesp";45,6;9;136,9;27
"West Betuwe";56,6;29;189,5;97
"West Maas en Waal";56,9;11;264;51
"Westerkwartier";20,5;13;74,2;47
"Westerveld";30,8;6;118,2;23
"Westervoort";60,1;9;106,9;16
"Westerwolde";19,4;5;19,4;5
"Westland";36,2;40;122,3;135
"Weststellingwerf";7,7;2;42,4;11
"Westvoorne";40,7;6;135,8;20
"Wierden";16,4;4;122,7;30
"Wijchen";87,5;36;204,3;84
"Wijdemeren";28,7;7;65,7;16
"Wijk bij Duurstede";29,3;7;87,8;21
"Winterswijk";10,4;3;62,4;18
"Woensdrecht";18,3;4;91,4;20
"Woerden";70,8;37;174;91
"Wormerland";98,2;16;177,9;29
"Woudenberg";52,4;7;142,2;19
"Zaanstad";56,2;88;135,3;212
"Zaltbommel";58,8;17;131,5;38
"Zandvoort";46,7;8;151,9;26
"Zeewolde";35,3;8;79,4;18
"Zeist";41,6;27;132,4;86
"Zevenaar";82,3;36;125,7;55
"Zoetermeer";27,1;34;63,1;79
"Zoeterwoude";23,2;2;81,3;7
"Zuidplas";38,7;17;143,5;63
"Zundert";73,3;16;201,6;44
"Zutphen";35,5;17;91,8;44
"Zwartewaterland";132,2;30;453,9;103
"Zwijndrecht";26,8;12;127,4;57
"Zwolle";34,2;44;166,1;214
