"Category";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"'s-Hertogenbosch";389;250,8;118;76,1;61;39,3
"Aa en Hunze";13;51,1;1;3,9;0;0
"Aalsmeer";37;116,1;8;25,1;2;6,3
"Aalten";49;180,7;5;18,4;3;11,1
"Achtkarspelen";9;32,3;0;0;0;0
"Alblasserdam";38;188,4;9;44,6;1;5
"Albrandswaard";77;300,9;9;35,2;6;23,4
"Alkmaar";204;186,4;50;45,7;21;19,2
"Almelo";83;113,6;20;27,4;6;8,2
"Almere";275;129,8;108;51;6;2,8
"Alphen aan den Rijn";149;133,2;56;50;18;16,1
"Alphen-Chaam";45;440,6;17;166,5;5;49
"Altena";107;191,1;30;53,6;11;19,6
"Ameland";0;0;0;0;0;0
"Amersfoort";151;96;54;34,3;19;12,1
"Amstelveen";272;296,6;52;56,7;31;33,8
"Amsterdam";1628;186,5;504;57,7;135;15,5
"Apeldoorn";302;184,3;51;31,1;33;20,1
"Appingedam";4;34,4;3;25,8;0;0
"Arnhem";228;141,3;58;35,9;20;12,4
"Assen";36;52,5;12;17,5;2;2,9
"Asten";65;388,4;14;83,7;8;47,8
"Baarle-Nassau";5;72,9;1;14,6;0;0
"Baarn";39;156,8;11;44,2;3;12,1
"Barendrecht";94;193;29;59,5;5;10,3
"Barneveld";96;162,5;17;28,8;6;10,2
"Beek";38;239,5;15;94,5;3;18,9
"Beekdaelen";127;353;44;122,3;19;52,8
"Beemster";8;79,8;4;39,9;1;10
"Beesel";40;296,7;20;148,3;8;59,3
"Berg en Dal";160;457,3;32;91,5;14;40
"Bergeijk";47;252,2;14;75,1;4;21,5
"Bergen (L.)";18;137,6;7;53,5;2;15,3
"Bergen (NH.)";50;167,5;16;53,6;3;10,1
"Bergen op Zoom";90;133,4;21;31,1;7;10,4
"Berkelland";61;139,4;6;13,7;4;9,1
"Bernheze";236;755,3;87;278,4;53;169,6
"Best";50;166,8;31;103,4;9;30
"Beuningen";55;212,4;19;73,4;4;15,4
"Beverwijk";68;163,4;15;36;6;14,4
"Bladel";50;245,2;18;88,3;7;34,3
"Blaricum";23;199,4;7;60,7;0;0
"Bloemendaal";41;173,9;6;25,5;3;12,7
"Bodegraven-Reeuwijk";38;109;7;20,1;2;5,7
"Boekel";86;797,5;34;315,3;21;194,7
"Borger-Odoorn";7;27,4;2;7,8;3;11,7
"Borne";44;188,7;13;55,8;6;25,7
"Borsele";22;96,8;5;22;0;0
"Boxmeer";96;326,9;18;61,3;17;57,9
"Boxtel";54;175,3;21;68,2;12;39
"Breda";412;223,6;140;76;53;28,8
"Brielle";27;156,2;11;63,7;0;0
"Bronckhorst";53;147;11;30,5;5;13,9
"Brummen";34;163,8;16;77,1;6;28,9
"Brunssum";71;255,2;35;125,8;11;39,5
"Bunnik";26;171,2;7;46,1;1;6,6
"Bunschoten";49;224,1;5;22,9;5;22,9
"Buren";34;127,1;13;48,6;5;18,7
"Capelle aan den IJssel";228;339,5;39;58,1;36;53,6
"Castricum";72;200,1;14;38,9;8;22,2
"Coevorden";47;133,2;12;34;1;2,8
"Cranendonck";154;727,6;59;278,7;27;127,6
"Cuijk";48;190,9;10;39,8;9;35,8
"Culemborg";53;183;21;72,5;7;24,2
"Dalfsen";72;251,9;15;52,5;6;21
"Dantumadiel";6;31,7;2;10,6;0;0
"De Bilt";102;236,5;24;55,7;9;20,9
"De Fryske Marren";53;102,8;14;27,1;5;9,7
"De Ronde Venen";76;171;37;83,2;9;20,2
"De Wolden";36;148;10;41,1;0;0
"Delft";109;105,2;37;35,7;8;7,7
"Delfzijl";15;60,8;5;20,3;0;0
"Den Helder";30;53,3;8;14,2;0;0
"Deurne";129;397,2;50;154;16;49,3
"Deventer";180;178,7;41;40,7;25;24,8
"Diemen";70;227,4;15;48,7;7;22,7
"Dinkelland";68;256,9;17;64,2;7;26,4
"Doesburg";22;198,6;7;63,2;6;54,2
"Doetinchem";78;134,5;15;25,9;13;22,4
"Dongen";62;236,4;16;61;10;38,1
"Dordrecht";230;192,8;75;62,9;19;15,9
"Drechterland";42;213;3;15,2;8;40,6
"Drimmelen";55;201,7;18;66;4;14,7
"Dronten";95;228,5;25;60,1;6;14,4
"Druten";103;544,5;21;111;6;31,7
"Duiven";40;159,2;13;51,7;4;15,9
"Echt-Susteren";78;246,7;36;113,9;14;44,3
"Edam-Volendam";74;204,4;20;55,2;2;5,5
"Ede";171;145,9;53;45,2;18;15,4
