"Category";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"Heemstede";87;319,4;10;36,7;30;110,1
"Heerde";176;946,9;40;215,2;25;134,5
"Heerenveen";82;162,4;13;25,7;19;37,6
"Heerhugowaard";134;232,7;26;45,1;8;13,9
"Heerlen";323;371;117;134,4;46;52,8
"Heeze-Leende";56;346,7;15;92,9;8;49,5
"Heiloo";45;187,7;9;37,5;7;29,2
"Hellendoorn";87;242,2;8;22,3;4;11,1
"Hellevoetsluis";58;144,4;14;34,9;1;2,5
"Helmond";298;322,4;96;103,9;33;35,7
"Hendrik-Ido-Ambacht";31;99,3;6;19,2;3;9,6
"Hengelo";113;139,3;20;24,6;15;18,5
"Het Hogeland";27;56,4;7;14,6;2;4,2
"Heumen";66;401,2;17;103,3;7;42,6
"Heusden";129;288,6;44;98,4;18;40,3
"Hillegom";28;126,1;7;31,5;2;9
"Hilvarenbeek";37;238,5;7;45,1;5;32,2
"Hilversum";158;173,8;27;29,7;4;4,4
"Hoeksche Waard";254;290,4;71;81,2;16;18,3
"Hof van Twente";58;165,7;15;42,8;2;5,7
"Hollands Kroon";57;117,7;26;53,7;6;12,4
"Hoogeveen";80;143,6;17;30,5;6;10,8
"Hoorn";76;103,8;30;41;11;15
"Horst aan de Maas";115;271;40;94,3;23;54,2
"Houten";106;211,4;24;47,9;12;23,9
"Huizen";101;244,7;19;46;3;7,3
"Hulst";29;105,2;9;32,7;4;14,5
"IJsselstein";117;343;34;99,7;29;85
"Kaag en Braassem";26;95,2;6;22;2;7,3
"Kampen";310;570,5;59;108,6;26;47,8
"Kapelle";22;173,4;3;23,6;1;7,9
"Katwijk";174;264,6;26;39,5;11;16,7
"Kerkrade";170;371,6;58;126,8;25;54,7
"Koggenland";32;140,6;6;26,4;6;26,4
"Krimpen aan den IJssel";64;216,7;9;30,5;5;16,9
"Krimpenerwaard";135;239,7;44;78,1;21;37,3
"Laarbeek";103;457,2;37;164,2;26;115,4
"Landerd";132;839,2;39;247,9;21;133,5
"Landgraaf";126;336,4;51;136,2;12;32
"Landsmeer";22;191,4;3;26,1;2;17,4
"Langedijk";43;152,7;16;56,8;2;7,1
"Lansingerland";163;261,2;37;59,3;18;28,8
"Laren";23;204;8;71;1;8,9
"Leeuwarden";54;43,5;33;26,6;6;4,8
"Leiden";126;100,7;38;30,4;15;12
"Leiderdorp";27;99,8;10;37;5;18,5
"Leidschendam-Voorburg";93;121,5;19;24,8;8;10,5
"Lelystad";140;178,1;56;71,2;12;15,3
"Leudal";172;479,2;53;147,6;27;75,2
"Leusden";41;134,9;9;29,6;4;13,2
"Lingewaard";96;206;29;62,2;8;17,2
"Lisse";20;87,1;6;26,1;2;8,7
"Lochem";79;234,2;12;35,6;11;32,6
"Loon op Zand";53;226,4;20;85,4;6;25,6
"Lopik";54;373,2;19;131,3;7;48,4
"Loppersum";2;21;0;0;0;0
"Losser";22;97;7;30,9;0;0
"Maasdriel";40;159,8;15;59,9;5;20
"Maasgouw";94;392,3;27;112,7;10;41,7
"Maassluis";51;153,5;17;51,2;3;9
"Maastricht";658;541,3;169;139;93;76,5
"Medemblik";68;150,8;18;39,9;6;13,3
"Meerssen";87;462;21;111,5;11;58,4
"Meierijstad";502;618,2;203;250;121;149
"Meppel";31;91,4;8;23,6;3;8,8
"Middelburg";50;102,4;17;34,8;7;14,3
"Midden-Delfland";16;82,7;4;20,7;0;0
"Midden-Drenthe";20;60,3;6;18,1;0;0
