"Category";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"'s-Hertogenbosch";377;243;117;75,4;61;39,3
"Aa en Hunze";13;51,1;1;3,9;0;0
"Aalsmeer";36;113;8;25,1;2;6,3
"Aalten";46;169,6;4;14,8;3;11,1
"Achtkarspelen";8;28,7;0;0;0;0
"Alblasserdam";38;188,4;9;44,6;1;5
"Albrandswaard";75;293,1;9;35,2;6;23,4
"Alkmaar";202;184,6;50;45,7;21;19,2
"Almelo";83;113,6;20;27,4;5;6,8
"Almere";265;125,1;107;50,5;6;2,8
"Alphen aan den Rijn";144;128,7;55;49,2;18;16,1
"Alphen-Chaam";43;421;17;166,5;5;49
"Altena";106;189,4;30;53,6;11;19,6
"Ameland";0;0;0;0;0;0
"Amersfoort";150;95,4;54;34,3;18;11,4
"Amstelveen";267;291,2;51;55,6;31;33,8
"Amsterdam";1580;181;495;56,7;133;15,2
"Apeldoorn";292;178,2;50;30,5;32;19,5
"Appingedam";4;34,4;3;25,8;0;0
"Arnhem";219;135,7;57;35,3;19;11,8
"Assen";35;51;12;17,5;2;2,9
"Asten";63;376,5;14;83,7;8;47,8
"Baarle-Nassau";5;72,9;1;14,6;0;0
"Baarn";38;152,8;11;44,2;3;12,1
"Barendrecht";92;188,9;29;59,5;5;10,3
"Barneveld";95;160,8;17;28,8;6;10,2
"Beek";37;233,2;15;94,5;3;18,9
"Beekdaelen";117;325,2;43;119,5;19;52,8
"Beemster";8;79,8;4;39,9;1;10
"Beesel";40;296,7;20;148,3;8;59,3
"Berg en Dal";157;448,7;30;85,7;13;37,2
"Bergeijk";47;252,2;14;75,1;4;21,5
"Bergen (L.)";17;129,9;6;45,9;2;15,3
"Bergen (NH.)";49;164,2;16;53,6;3;10,1
"Bergen op Zoom";85;125,9;21;31,1;7;10,4
"Berkelland";58;132,6;6;13,7;3;6,9
"Bernheze";234;748,9;80;256;52;166,4
"Best";50;166,8;31;103,4;9;30
"Beuningen";51;197;19;73,4;4;15,4
"Beverwijk";68;163,4;15;36;6;14,4
"Bladel";50;245,2;17;83,4;7;34,3
"Blaricum";23;199,4;7;60,7;0;0
"Bloemendaal";41;173,9;6;25,5;3;12,7
"Bodegraven-Reeuwijk";35;100,4;7;20,1;2;5,7
"Boekel";85;788,2;32;296,7;21;194,7
"Borger-Odoorn";7;27,4;2;7,8;3;11,7
"Borne";43;184,4;13;55,8;6;25,7
"Borsele";21;92,4;5;22;0;0
"Boxmeer";95;323,4;18;61,3;16;54,5
"Boxtel";53;172,1;21;68,2;12;39
"Breda";405;219,8;140;76;53;28,8
"Brielle";26;150,4;11;63,7;0;0
"Bronckhorst";52;144,2;11;30,5;5;13,9
"Brummen";33;159;16;77,1;6;28,9
"Brunssum";70;251,6;34;122,2;11;39,5
"Bunnik";23;151,4;7;46,1;1;6,6
"Bunschoten";48;219,5;5;22,9;5;22,9
"Buren";34;127,1;13;48,6;5;18,7
"Capelle aan den IJssel";220;327,6;39;58,1;35;52,1
"Castricum";73;202,8;14;38,9;8;22,2
"Coevorden";46;130,3;12;34;1;2,8
"Cranendonck";154;727,6;59;278,7;26;122,8
"Cuijk";47;187;10;39,8;8;31,8
"Culemborg";53;183;21;72,5;7;24,2
"Dalfsen";71;248,4;15;52,5;6;21
"Dantumadiel";6;31,7;2;10,6;0;0
"De Bilt";98;227,3;23;53,3;8;18,6
"De Fryske Marren";53;102,8;14;27,1;5;9,7
"De Ronde Venen";72;162;36;81;8;18
"De Wolden";36;148;10;41,1;0;0
