"Category";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"'s-Hertogenbosch";441;284,3;124;79,9;71;45,8
"Aa en Hunze";14;55;1;3,9;0;0
"Aalsmeer";37;116,1;9;28,3;2;6,3
"Aalten";53;195,4;6;22,1;5;18,4
"Achtkarspelen";10;35,9;0;0;0;0
"Alblasserdam";40;198,4;10;49,6;2;9,9
"Albrandswaard";88;343,9;10;39,1;7;27,4
"Alkmaar";225;205,6;53;48,4;25;22,8
"Almelo";88;120,4;22;30,1;9;12,3
"Almere";341;161;119;56,2;12;5,7
"Alphen aan den Rijn";164;146,6;57;50,9;22;19,7
"Alphen-Chaam";45;440,6;17;166,5;5;49
"Altena";118;210,8;30;53,6;11;19,6
"Ameland";0;0;0;0;0;0
"Amersfoort";172;109,4;56;35,6;22;14
"Amstelveen";295;321,7;55;60;33;36
"Amsterdam";1998;228,9;567;65;205;23,5
"Apeldoorn";363;221,6;70;42,7;45;27,5
"Appingedam";5;42,9;3;25,8;0;0
"Arnhem";261;161,7;64;39,7;23;14,3
"Assen";40;58,3;12;17,5;2;2,9
"Asten";72;430,3;18;107,6;10;59,8
"Baarle-Nassau";21;306,1;7;102;2;29,2
"Baarn";51;205;11;44,2;8;32,2
"Barendrecht";114;234;36;73,9;11;22,6
"Barneveld";107;181,1;18;30,5;6;10,2
"Beek";42;264,7;15;94,5;5;31,5
"Beekdaelen";156;433,6;49;136,2;20;55,6
"Beemster";9;89,8;4;39,9;1;10
"Beesel";41;304,1;20;148,3;8;59,3
"Berg en Dal";147;420,1;28;80;15;42,9
"Bergeijk";50;268,3;17;91,2;4;21,5
"Bergen (L.)";22;168,1;7;53,5;2;15,3
"Bergen (NH.)";51;170,9;16;53,6;3;10,1
"Bergen op Zoom";111;164,5;21;31,1;8;11,9
"Berkelland";69;157,7;8;18,3;7;16
"Bernheze";260;832,1;96;307,2;60;192
"Best";65;216,8;31;103,4;10;33,4
"Beuningen";61;235,6;19;73,4;5;19,3
"Beverwijk";70;168,2;15;36;9;21,6
"Bladel";58;284,4;19;93,2;8;39,2
"Blaricum";25;216,7;8;69,3;2;17,3
"Bloemendaal";46;195,2;8;33,9;4;17
"Bodegraven-Reeuwijk";48;137,7;7;20,1;1;2,9
"Boekel";88;816;35;324,6;21;194,7
