"Category";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"'s-Hertogenbosch";433;279,2;124;79,9;70;45,1
"Aa en Hunze";14;55;1;3,9;0;0
"Aalsmeer";37;116,1;9;28,3;2;6,3
"Aalten";53;195,4;6;22,1;5;18,4
"Achtkarspelen";10;35,9;0;0;0;0
"Alblasserdam";40;198,4;10;49,6;2;9,9
"Albrandswaard";88;343,9;10;39,1;7;27,4
"Alkmaar";222;202,8;53;48,4;25;22,8
"Almelo";88;120,4;22;30,1;9;12,3
"Almere";335;158,1;118;55,7;12;5,7
"Alphen aan den Rijn";163;145,7;57;50,9;22;19,7
"Alphen-Chaam";45;440,6;17;166,5;5;49
"Altena";118;210,8;30;53,6;11;19,6
"Ameland";0;0;0;0;0;0
"Amersfoort";168;106,8;56;35,6;22;14
"Amstelveen";293;319,6;55;60;33;36
"Amsterdam";1979;226,7;559;64;202;23,1
"Apeldoorn";355;216,7;69;42,1;41;25
"Appingedam";5;42,9;3;25,8;0;0
"Arnhem";257;159,3;63;39;23;14,3
"Assen";40;58,3;12;17,5;2;2,9
"Asten";70;418,3;18;107,6;10;59,8
"Baarle-Nassau";21;306,1;7;102;1;14,6
"Baarn";51;205;11;44,2;8;32,2
"Barendrecht";112;229,9;36;73,9;11;22,6
"Barneveld";106;179,4;18;30,5;6;10,2
"Beek";41;258,4;15;94,5;5;31,5
"Beekdaelen";149;414,2;48;133,4;20;55,6
"Beemster";9;89,8;4;39,9;1;10
"Beesel";41;304,1;20;148,3;8;59,3
"Berg en Dal";146;417,3;28;80;15;42,9
"Bergeijk";50;268,3;16;85,8;4;21,5
"Bergen (L.)";22;168,1;7;53,5;2;15,3
"Bergen (NH.)";50;167,5;16;53,6;3;10,1
"Bergen op Zoom";107;158,5;21;31,1;8;11,9
"Berkelland";68;155,4;6;13,7;7;16
"Bernheze";260;832,1;96;307,2;59;188,8
"Best";64;213,4;31;103,4;10;33,4
"Beuningen";61;235,6;19;73,4;5;19,3
"Beverwijk";70;168,2;15;36;9;21,6
"Bladel";57;279,5;18;88,3;8;39,2
"Blaricum";25;216,7;8;69,3;0;0
"Bloemendaal";46;195,2;8;33,9;4;17
"Bodegraven-Reeuwijk";46;131,9;7;20,1;1;2,9
"Boekel";88;816;35;324,6;21;194,7
"Borger-Odoorn";9;35,2;4;15,7;3;11,7
"Borne";49;210,2;14;60,1;6;25,7
"Borsele";22;96,8;5;22;0;0
"Boxmeer";111;377,9;18;61,3;24;81,7
"Boxtel";60;194,8;24;77,9;12;39
"Breda";443;240,4;144;78,1;56;30,4
"Brielle";31;179,4;11;63,7;0;0
"Bronckhorst";66;183,1;14;38,8;6;16,6
"Brummen";31;149,4;16;77,1;5;24,1
"Brunssum";85;305,6;41;147,4;13;46,7
"Bunnik";32;210,7;9;59,2;1;6,6
"Bunschoten";56;256,1;9;41,2;7;32
"Buren";43;160,8;16;59,8;6;22,4
"Capelle aan den IJssel";253;376,8;44;65,5;47;70
"Castricum";74;205,6;14;38,9;9;25
"Coevorden";55;155,8;13;36,8;1;2,8
"Cranendonck";161;760,7;62;292,9;35;165,4
"Cuijk";67;266,5;11;43,8;9;35,8
"Culemborg";55;189,9;21;72,5;7;24,2
"Dalfsen";77;269,4;16;56;6;21
"Dantumadiel";6;31,7;2;10,6;0;0
"De Bilt";125;289,9;24;55,7;14;32,5
"De Fryske Marren";56;108,6;15;29,1;5;9,7
"De Ronde Venen";81;182,2;39;87,7;10;22,5
