"Category";"Zkh opname per 100.000";"Zkh opname";"Meldingen per 100.000";"Meldingen"
"'s-Hertogenbosch";70,9;110;194,1;301
"Aa en Hunze";3,9;1;39,3;10
"Aalsmeer";22;7;97,3;31
"Aalten";7,4;2;106,9;29
"Achtkarspelen";0;0;18;5
"Alblasserdam";39,7;8;133,9;27
"Albrandswaard";31,3;8;230,6;59
"Alkmaar";43,9;48;156,2;171
"Almelo";24,6;18;94,4;69
"Almere";46,3;98;85,4;181
"Alphen aan den Rijn";44,7;50;97,4;109
"Alphen-Chaam";146,9;15;391,7;40
"Altena";50;28;159;89
"Ameland";0;0;0;0
"Amersfoort";32,4;51;80,1;126
"Amstelveen";50,2;46;227,9;209
"Amsterdam";47,3;413;143,7;1254
"Apeldoorn";23,2;38;116;190
"Appingedam";17,2;2;17,2;2
"Arnhem";33,5;54;110,3;178
"Assen";14,6;10;42,3;29
"Asten";77,7;13;274,9;46
"Baarle-Nassau";14,6;1;58,3;4
"Baarn";36,2;9;120,6;30
"Barendrecht";57,5;28;151,9;74
"Barneveld";20,3;12;132;78
"Beek";88,2;14;176,5;28
"Beekdaelen";111,2;40;214;77
"Beemster";39,9;4;79,8;8
"Beesel";148,3;20;244,8;33
"Berg en Dal";82,9;29;363;127
"Bergeijk";75,1;14;198,5;37
"Bergen (L.)";45,9;6;91,7;12
"Bergen (NH.)";53,6;16;154,1;46
"Bergen op Zoom";28,2;19;87,4;59
"Berkelland";11,4;5;77,7;34
"Bernheze";246,4;77;640,1;200
"Best";103,4;31;150,1;45
"Beuningen";69,5;18;162,2;42
"Beverwijk";36;15;134,6;56
"Bladel";73,5;15;205,9;42
"Blaricum";43,3;5;147,4;17
"Bloemendaal";25,5;6;157;37
"Bodegraven-Reeuwijk";20,1;7;83,2;29
"Boekel";287,5;31;760,4;82
"Borger-Odoorn";7,8;2;15,7;4
"Borne";55,8;13;180,2;42
"Borsele";17,6;4;83,6;19
"Boxmeer";57,9;17;251,9;74
"Boxtel";55,2;17;129,9;40
"Breda";74,9;138;199,7;368
"Brielle";63,7;11;138,9;24
"Bronckhorst";13,9;5;83,2;30
"Brummen";48,2;10;125,3;26
"Brunssum";115;32;204,9;57
"Bunnik";46,1;7;131,7;20
"Bunschoten";18,3;4;150,9;33
"Buren";33,7;9;97,2;26
"Capelle aan den IJssel";49,1;33;253,2;170
"Castricum";36,1;13;155,6;56
"Coevorden";25,5;9;116,2;41
"Cranendonck";274;58;666,2;141
"Cuijk";35,8;9;163,1;41
"Culemborg";69,1;20;141,6;41
"Dalfsen";52,5;15;188,9;54
"Dantumadiel";10,6;2;31,7;6
"De Bilt";44,1;19;183,2;79
"De Fryske Marren";25,2;13;93,1;48
"De Ronde Venen";63;28;130,5;58
"De Wolden";32,9;8;115,1;28
"Delft";34,7;36;90,7;94
"Delfzijl";20,3;5;52,7;13
"Den Helder";14,2;8;48;27
"Deurne";154;50;341,8;111
"Deventer";37,7;38;118,2;119
"Diemen";16,2;5;68,2;21
"Dinkelland";64,2;17;230,4;61
"Doesburg";45,1;5;153,5;17
"Doetinchem";19;11;101,7;59
"Dongen";57,2;15;194,5;51
"Dordrecht";52,8;63;146,7;175
"Drechterland";15,2;3;167,4;33
"Drimmelen";62,3;17;157,7;43
"Dronten";50,5;21;158,8;66
"Druten";100,4;19;428,2;81
"Duiven";39,8;10;115,4;29
"Echt-Susteren";110,7;35;205,6;65
"Edam-Volendam";52,5;19;138,1;50
"Ede";41,8;49;113,5;133
"Eemnes";10,8;1;119;11
"Eersel";108,7;21;233;45
"Eijsden-Margraten";182,5;47;442,7;114
"Eindhoven";59,7;140;134,8;316
"Elburg";51,8;12;323,8;75
"Emmen";13,1;14;56;60
"Enkhuizen";91,4;17;139,8;26
"Enschede";29,4;47;88,3;141
"Epe";69,3;23;244,1;81
"Ermelo";66,7;18;259,2;70
"Etten-Leur";86,6;38;268,9;118
"Geertruidenberg";41,8;9;102,1;22
"Geldrop-Mierlo";60,4;24;183,7;73
"Gemert-Bakel";227,8;70;436,1;134
"Gennep";88,6;15;260;44
"Gilze en Rijen";64,3;17;200,5;53
"Goeree-Overflakkee";95,9;48;433,6;217
"Goes";26,3;10;157,6;60
"Goirle";104,6;25;251;60
"Gooise Meren";36,2;21;129,2;75
"Gorinchem";40,5;15;308;114
"Gouda";42,2;31;208,3;153
"Grave";136,7;17;337,7;42
"Groningen";6,9;16;59,2;138
"Gulpen-Wittem";105,8;15;296,3;42
"Haaksbergen";57,6;14;172,8;42
"Haaren";104,4;15;229,6;33
"Haarlem";32,5;53;134,4;219
"Haarlemmermeer";34;53;102,5;160
"Halderberge";36,3;11;142;43
"Hardenberg";34,5;21;210;128
"Harderwijk";31;15;130,1;63
"Hardinxveld-Giessendam";5,5;1;136,6;25
"Harlingen";19,1;3;70;11
"Hattem";81,9;10;294,8;36
"Heemskerk";66,3;26;173,5;68
"Heemstede";33;9;293,7;80
"Heerde";139,9;26;581,1;108
"Heerenveen";23,8;12;122,8;62
"Heerhugowaard";39,9;23;158;91
"Heerlen";109,1;95;237,8;207
"Heeze-Leende";74,3;12;284,8;46
"Heiloo";37,5;9;150,2;36
"Hellendoorn";19,5;7;116,9;42
"Hellevoetsluis";32,4;13;127;51
"Helmond";93;86;245,6;227
"Hendrik-Ido-Ambacht";16;5;70,5;22
"Hengelo";19,7;16;124,5;101
"Het Hogeland";14,6;7;48,1;23
"Heumen";97,3;16;273,6;45
"Heusden";80,5;36;192,4;86
"Hillegom";27;6;94,6;21
"Hilvarenbeek";38,7;6;186,9;29
"Hilversum";24,2;22;80,3;73
"Hoeksche Waard";74,3;65;190,9;167
"Hof van Twente";40;14;145,7;51
"Hollands Kroon";53,7;26;103,2;50
"Hoogeveen";19,7;11;75,4;42
"Hoorn";32,8;24;76,5;56
"Horst aan de Maas";94,3;40;214,5;91
"Houten";39,9;20;181,5;91
"Huizen";41,2;17;123,6;51
"Hulst";29;8;90,7;25
"IJsselstein";93,8;32;231,6;79
"Kaag en Braassem";22;6;54,9;15
"Kampen";95,7;52;425,1;231
