"Category";"Zkh opname per 100.000";"Zkh opname";"Meldingen per 100.000";"Meldingen"
"Kapelle";15,8;2;118,2;15
"Katwijk";30,4;20;144,5;95
"Kerkrade";111,5;51;212;97
"Koggenland";30,8;7;123,1;28
"Krimpen aan den IJssel";27,1;8;138,8;41
"Krimpenerwaard";71;40;179,3;101
"Laarbeek";155,3;35;332,9;75
"Landerd";184,4;29;642,1;101
"Landgraaf";109,5;41;240,3;90
"Landsmeer";26,1;3;147,9;17
"Langedijk";56,8;16;131,4;37
"Lansingerland";52,9;33;206,7;129
"Laren";71;8;186,3;21
"Leeuwarden";25;31;38,7;48
"Leiden";27,2;34;77,5;97
"Leiderdorp";33,3;9;73,9;20
"Leidschendam-Voorburg";23,5;18;78,4;60
"Lelystad";57,2;45;113,2;89
"Leudal";144,9;52;359,4;129
"Leusden";26,3;8;102;31
"Lingewaard";55,8;26;137,3;64
"Lisse";21,8;5;65,3;15
"Lochem";29,6;10;130,4;44
"Loon op Zand";85,4;20;179,4;42
"Lopik";117,5;17;214,2;31
"Loppersum";0;0;21;2
"Losser";26,4;6;70,5;16
"Maasdriel";59,9;15;107,9;27
"Maasgouw";91,8;22;237,9;57
"Maassluis";42,1;14;111,4;37
"Maastricht";112,7;137;367,7;447
"Medemblik";35,5;16;113,1;51
"Meerssen";79,7;15;318,6;60
"Meierijstad";204,4;166;490,2;398
"Meppel";14,7;5;73,7;25
"Middelburg";26,6;13;71,7;35
"Midden-Delfland";20,7;4;62;12
"Midden-Drenthe";18,1;6;51,2;17
"Midden-Groningen";9,9;6;39,5;24
"Mill en Sint Hubert";82,3;9;201,1;22
"Moerdijk";24,2;9;110,4;41
"Molenlanden";36,4;16;175,3;77
"Montferland";25;9;133,3;48
"Montfoort";86,2;12;222,7;31
"Mook en Middelaar";63,7;5;305,8;24
"Neder-Betuwe";127,4;31;267;65
"Nederweert";164,5;28;229,1;39
"Nieuwegein";53,6;34;113,5;72
"Nieuwkoop";24,3;7;121,5;35
"Nijkerk";48,6;21;101,9;44
"Nijmegen";62,5;111;229;407
"Nissewaard";38,7;33;127,9;109
"Noardeast-Fryslân";13,3;6;50,8;23
"Noord-Beveland";13,5;1;67,6;5
"Noordenveld";6,4;2;41,6;13
"Noordoostpolder";21,2;10;76,2;36
"Noordwijk";29,9;13;64,3;28
"Nuenen, Gerwen en Nederwetten";59,9;14;158,3;37
"Nunspeet";107,7;30;420,2;117
"Oegstgeest";24,2;6;108,7;27
"Oirschot";64,1;12;203;38
"Oisterwijk";61;16;179,1;47
"Oldambt";5,2;2;15,7;6
"Oldebroek";97,3;23;372,2;88
"Oldenzaal";44;14;125,7;40
"Olst-Wijhe";65,7;12;186,3;34
"Ommen";44,4;8;188,8;34
"Oost Gelre";30,4;9;131,7;39
"Oosterhout";60,7;34;128,6;72
"Ooststellingwerf";3,9;1;7,9;2
"Oostzaan";82,2;8;205,5;20
"Opmeer";8,4;1;42,2;5
"Opsterland";16,8;5;60,5;18
"Oss";121,8;112;365,5;336
"Oude IJsselstreek";27,9;11;106,6;42
"Ouder-Amstel";35,6;5;163,9;23
"Oudewater";224,9;23;420,5;43
"Overbetuwe";112,7;54;212,9;102
"Papendrecht";21,8;7;124,5;40
"Peel en Maas";310,9;135;518,2;225
"Pekela";32,8;4;32,8;4
"Pijnacker-Nootdorp";34,3;19;117,5;65
"Purmerend";72,6;59;178,5;145
"Putten";12,4;3;66,4;16
"Raalte";55,7;21;164,4;62
"Reimerswaal";17,6;4;96,8;22
"Renkum";44,6;14;140,1;44
"Renswoude";73,4;4;220,3;12
"Reusel-De Mierden";68,6;9;137,3;18
"Rheden";70,9;31;130,3;57
"Rhenen";19,9;4;79,5;16
"Ridderkerk";62,8;29;155,8;72
"Rijssen-Holten";62,9;24;206,9;79
"Rijswijk";34,9;19;108,4;59
"Roerdalen";126,4;26;189,6;39
"Roermond";84,1;49;176,8;103
"Roosendaal";24,6;19;168,3;130
"Rotterdam";47,7;311;203,1;1323
"Rozendaal";58,7;1;117,3;2
"Rucphen";30,6;7;157,4;36
"s-Gravenhage";41,1;224;121,2;661
"Schagen";36,6;17;122,6;57
"Scherpenzeel";30,4;3;172,1;17
"Schiedam";43,2;34;118,1;93
"Schiermonnikoog";0;0;0;0
"Schouwen-Duiveland";29,5;10;79,7;27
"Simpelveld";161,1;17;284,3;30
"Sint Anthonis";154,2;18;462,6;54
"Sint-Michielsgestel";102,7;30;236,3;69
"Sittard-Geleen";98,5;91;261,8;242
"Sliedrecht";27,8;7;130,9;33
"Sluis";30,2;7;64,6;15
"Smallingerland";12,5;7;48,1;27
"Soest";42,9;20;135,2;63
"Someren";144,5;28;366,4;71
"Son en Breugel";155,9;27;311,8;54
"Stadskanaal";6,3;2;12,6;4
"Staphorst";40,8;7;245;42
"Stede Broec";78,2;17;188,6;41
"Steenbergen";44,9;11;183,7;45
"Steenwijkerland";24,9;11;120,1;53
"Stein";148;37;292;73
"Stichtse Vecht";40;26;106,3;69
"Súdwest-Fryslân";18,9;17;61,1;55
"Terneuzen";34,9;19;147;80
"Terschelling";0;0;20,5;1
"Texel";29,5;4;81;11
"Teylingen";32,1;12;88,2;33
"Tholen";132;34;415,4;107
"Tiel";80,6;34;163,7;69
"Tilburg";72,8;160;230,7;507
"Tubbergen";47;10;300,8;64
"Twenterand";29,6;10;124,5;42
"Tynaarlo";20,7;7;94,5;32
"Tytsjerksteradiel";12,5;4;43,7;14
"Uden";208,9;88;512,8;216
"Uitgeest";36,6;5;131,9;18
"Uithoorn";40,7;12;132,4;39
"Urk";90,3;19;209,2;44
"Utrecht";49,2;176;165,2;591
"Utrechtse Heuvelrug";42,3;21;141,1;70
"Vaals";89,1;9;207,9;21
"Valkenburg aan de Geul";85,6;14;311,7;51
"Valkenswaard";48,1;15;317,3;99
"Veendam";7,3;2;29,2;8
"Veenendaal";51,1;34;124,8;83
"Veere";22,8;5;91,4;20
"Veldhoven";55;25;184,8;84
"Velsen";37,9;26;270,9;186
"Venlo";113;115;203,3;207
"Venray";80,3;35;183,5;80
"Vijfheerenlanden";38,7;22;271,1;154
"Vlaardingen";40,8;30;185,2;136
"Vlieland";0;0;0;0
"Vlissingen";18;8;99,2;44
"Voerendaal";120,3;15;216,5;27
"Voorschoten";35,2;9;97,6;25
"Voorst";40,7;10;179,3;44
"Vught";135,6;36;282,4;75
"Waadhoeke";19,5;9;130,2;60
"Waalre";34,4;6;120,3;21
"Waalwijk";47,3;23;207,7;101
"Waddinxveen";37,6;11;112,7;33
"Wageningen";35,3;14;83,2;33
"Wassenaar";26,7;7;122,1;32
"Waterland";74,6;13;137,8;24
"Weert";109,8;55;191,6;96
"Weesp";45,6;9;141,9;28
"West Betuwe";64,5;33;216,8;111
"West Maas en Waal";67,3;13;305,4;59
"Westerkwartier";22,1;14;80,5;51
"Westerveld";30,8;6;123,3;24
"Westervoort";66,8;10;133,6;20
"Westerwolde";19,4;5;19,4;5
"Westland";39;43;138,6;153
"Weststellingwerf";7,7;2;50,2;13
"Westvoorne";40,7;6;142,6;21
"Wierden";16,4;4;130,9;32
"Wijchen";92,4;38;218,9;90
"Wijdemeren";28,7;7;69,8;17
"Wijk bij Duurstede";33,5;8;100,4;24
"Winterswijk";10,4;3;72,8;21
"Woensdrecht";18,3;4;123,4;27
"Woerden";86,1;45;202,7;106
"Wormerland";98,2;16;184,1;30
"Woudenberg";67,4;9;157,2;21
"Zaanstad";59,3;93;156,3;245
"Zaltbommel";62,3;18;148,8;43
"Zandvoort";58,4;10;169,4;29
"Zeewolde";35,3;8;88,3;20
"Zeist";44,7;29;143,2;93
"Zevenaar";89,2;39;146,3;64
"Zoetermeer";29,5;37;87,8;110
"Zoeterwoude";23,2;2;81,3;7
"Zuidplas";38,7;17;148,1;65
"Zundert";77,9;17;215,4;47
"Zutphen";35,5;17;95,9;46
"Zwartewaterland";136,6;31;467,2;106
"Zwijndrecht";29,1;13;154,2;69
"Zwolle";38,8;50;181,6;234
