"Category";"Zkh opname per 100.000";"Zkh opname";"Meldingen per 100.000";"Meldingen"
"'s-Hertogenbosch";66,4;103;172,1;267
"Aa en Hunze";3,9;1;31,4;8
"Aalsmeer";22;7;84,8;27
"Aalten";3,7;1;77,4;21
"Achtkarspelen";0;0;18;5
"Alblasserdam";39,7;8;119;24
"Albrandswaard";27,4;7;214,9;55
"Alkmaar";39,3;43;136,1;149
"Almelo";24,6;18;86,2;63
"Almere";42,5;90;70,8;150
"Alphen aan den Rijn";41,1;46;84,9;95
"Alphen-Chaam";146,9;15;381,9;39
"Altena";42,9;24;135,8;76
"Ameland";0;0;0;0
"Amersfoort";30,5;48;68,7;108
"Amstelveen";45,8;42;205;188
"Amsterdam";40,6;354;128,3;1120
"Apeldoorn";20,8;34;86,7;142
"Appingedam";17,2;2;17,2;2
"Arnhem";30,4;49;80,6;130
"Assen";14,6;10;40,8;28
"Asten";65,7;11;203,2;34
"Baarle-Nassau";14,6;1;58,3;4
"Baarn";28,1;7;96,5;24
"Barendrecht";55,4;27;137,5;67
"Barneveld";20,3;12;115,1;68
"Beek";75,6;12;151,2;24
"Beekdaelen";102,8;37;186,2;67
"Beemster";39,9;4;79,8;8
"Beesel";133,5;18;215,1;29
"Berg en Dal";80;28;317,2;111
"Bergeijk";48,3;9;171,7;32
"Bergen (L.)";45,9;6;76,4;10
"Bergen (NH.)";53,6;16;140,7;42
"Bergen op Zoom";25,2;17;78,5;53
"Berkelland";4,6;2;54,9;24
"Bernheze";243,2;76;579,3;181
"Best";90;27;150,1;45
"Beuningen";65,7;17;139;36
"Beverwijk";31,2;13;127,4;53
"Bladel";68,6;14;176,5;36
"Blaricum";43,3;5;147,4;17
"Bloemendaal";21,2;5;148,5;35
"Bodegraven-Reeuwijk";20,1;7;71,7;25
"Boekel";268,9;29;686,2;74
"Borger-Odoorn";7,8;2;15,7;4
"Borne";55,8;13;163;38
"Borsele";17,6;4;74,8;17
"Boxmeer";57,9;17;194,1;57
"Boxtel";55,2;17;123,4;38
"Breda";73,8;136;189,9;350
"Brielle";63,7;11;127,3;22
"Bronckhorst";11,1;4;66,6;24
"Brummen";38,5;8;91,5;19
"Brunssum";107,8;30;176,2;49
"Bunnik";46,1;7;125,1;19
"Bunschoten";18,3;4;105,2;23
"Buren";26,2;7;78,5;21
"Capelle aan den IJssel";43,2;29;211,5;142
"Castricum";36,1;13;138,9;50
"Coevorden";25,5;9;102;36
"Cranendonck";250,4;53;486,6;103
"Cuijk";35,8;9;135,2;34
"Culemborg";69,1;20;127,8;37
"Dalfsen";49;14;171,4;49
"Dantumadiel";10,6;2;31,7;6
"De Bilt";44,1;19;171,6;74
"De Fryske Marren";25,2;13;77,6;40
"De Ronde Venen";58,5;26;119,2;53
"De Wolden";32,9;8;98,7;24
"Delft";34,7;36;77,2;80
"Delfzijl";20,3;5;52,7;13
"Den Helder";14,2;8;37,3;21
"Deurne";147,8;48;317,2;103
"Deventer";32,8;33;106,2;107
"Diemen";13;4;65;20
"Dinkelland";64,2;17;222,9;59
"Doesburg";36,1;4;135,4;15
"Doetinchem";15,5;9;84,5;49
"Dongen";57,2;15;186,8;49
"Dordrecht";51,1;61;122,4;146
"Drechterland";10,1;2;147,1;29
"Drimmelen";58,7;16;150,3;41
"Dronten";45,7;19;120,3;50
"Druten";100,4;19;296;56
"Duiven";39,8;10;107,5;27
"Echt-Susteren";107,5;34;183,4;58
"Edam-Volendam";52,5;19;110,5;40
"Ede";41;48;97,3;114
"Eemnes";10,8;1;86,5;8
"Eersel";98,4;19;201,9;39
"Eijsden-Margraten";174,7;45;396,1;102
"Eindhoven";47,3;111;119;279
"Elburg";47,5;11;241,8;56
"Emmen";12,1;13;45,8;49
"Enkhuizen";86,1;16;129,1;24
"Enschede";27,5;44;81,4;130
"Epe";42,2;14;192,9;64
"Ermelo";55,5;15;233,3;63
"Etten-Leur";79,8;35;234,7;103
"Geertruidenberg";41,8;9;88,2;19
"Geldrop-Mierlo";50,3;20;156;62
"Gemert-Bakel";211,6;65;413,3;127
"Gennep";82,7;14;224,5;38
"Gilze en Rijen";60,5;16;181,6;48
"Goeree-Overflakkee";85,9;43;415,6;208
"Goes";23,6;9;105;40
"Goirle";100,4;24;234,3;56
"Gooise Meren";34,5;20;112;65
"Gorinchem";37,8;14;264,8;98
"Gouda";38,1;28;159,3;117
"Grave";128,6;16;305,5;38
"Groningen";6,4;15;55,4;129
"Gulpen-Wittem";91,7;13;254;36
"Haaksbergen";49,4;12;148,1;36
"Haaren";104,4;15;201,8;29
"Haarlem";30,1;49;126,4;206
"Haarlemmermeer";31,4;49;94,8;148
"Halderberge";29,7;9;128,8;39
"Hardenberg";27,9;17;182,1;111
"Harderwijk";31;15;121,8;59
"Hardinxveld-Giessendam";5,5;1;136,6;25
"Harlingen";12,7;2;63,6;10
"Hattem";73,7;9;253,8;31
"Heemskerk";53,6;21;165,9;65
"Heemstede";29,4;8;279;76
"Heerde";129,1;24;435,8;81
"Heerenveen";21,8;11;99;50
"Heerhugowaard";38,2;22;119,8;69
"Heerlen";105,7;92;207,9;181
"Heeze-Leende";74,3;12;235,3;38
"Heiloo";37,5;9;125,1;30
"Hellendoorn";19,5;7;111,3;40
"Hellevoetsluis";27,4;11;112,1;45
"Helmond";69,2;64;206,6;191
"Hendrik-Ido-Ambacht";16;5;67,3;21
"Hengelo";18,5;15;117,1;95
"Het Hogeland";14,6;7;46;22
"Heumen";97,3;16;237,1;39
"Heusden";78,3;35;158,8;71
"Hillegom";27;6;85,6;19
"Hilvarenbeek";38,7;6;174;27
"Hilversum";22;20;62,7;57
"Hoeksche Waard";73,2;64;161,2;141
"Hof van Twente";40;14;128,5;45
"Hollands Kroon";53,7;26;92,9;45
"Hoogeveen";18;10;64,6;36
"Hoorn";31,4;23;66,9;49
"Horst aan de Maas";89,6;38;181,5;77
"Houten";35,9;18;167,5;84
"Huizen";41,2;17;106,6;44
"Hulst";29;8;83,5;23
"IJsselstein";85;29;187,6;64
"Kaag en Braassem";22;6;51,3;14
"Kampen";86,5;47;334,9;182
"Kapelle";15,8;2;118,2;15
"Katwijk";25,9;17;108;71
"Kerkrade";102,7;47;185,8;85
"Koggenland";26,4;6;101,1;23
"Krimpen aan den IJssel";20,3;6;121,9;36
"Krimpenerwaard";63,9;36;156,3;88
"Laarbeek";133,2;30;301,8;68
"Landerd";178;28;559,4;88
"Landgraaf";93,4;35;205,6;77
"Landsmeer";26,1;3;147,9;17
"Langedijk";53,3;15;113,6;32
"Lansingerland";46,5;29;179,5;112
"Laren";71;8;177,4;20
"Leeuwarden";25;31;37,1;46
"Leiden";24,8;31;68,7;86
"Leiderdorp";33,3;9;62,8;17
"Leidschendam-Voorburg";20,9;16;67,9;52
"Lelystad";54,7;43;96,7;76
"Leudal";142,1;51;314,8;113
"Leusden";23;7;95,4;29
"Lingewaard";49,3;23;115,9;54
"Lisse";21,8;5;56,6;13
"Lochem";17,8;6;103,8;35
"Loon op Zand";85,4;20;175,2;41
"Lopik";117,5;17;193,5;28
"Loppersum";0;0;21;2
"Losser";26,4;6;66,1;15
"Maasdriel";59,9;15;87,9;22
"Maasgouw";87,6;21;204,5;49
"Maassluis";39,1;13;108,4;36
"Maastricht";100,4;122;301,9;367
"Medemblik";31;14;102;46
"Meerssen";69;13;228,3;43
"Meierijstad";203,2;165;449,5;365
"Meppel";14,7;5;70,8;24
"Middelburg";26,6;13;65,6;32
"Midden-Delfland";15,5;3;56,9;11
"Midden-Drenthe";18,1;6;51,2;17
"Midden-Groningen";9,9;6;29,6;18
"Mill en Sint Hubert";82,3;9;164,5;18
"Moerdijk";24,2;9;102,3;38
"Molenlanden";36,4;16;145,7;64
"Montferland";22,2;8;72,2;26
"Montfoort";86,2;12;208,3;29
"Mook en Middelaar";51;4;280,4;22
"Neder-Betuwe";123,2;30;238,3;58
"Nederweert";158,6;27;223,2;38
"Nieuwegein";45,7;29;94,5;60
"Nieuwkoop";24,3;7;97,2;28
"Nijkerk";46,3;20;92,6;40
"Nijmegen";59,7;106;199,8;355
"Nissewaard";37,5;32;111,5;95
"Noardeast-Fryslân";11;5;35,4;16
"Noord-Beveland";13,5;1;67,6;5
"Noordenveld";6,4;2;35,2;11
"Noordoostpolder";19;9;63,5;30
"Noordwijk";27,6;12;59,7;26
"Nuenen, Gerwen en Nederwetten";51,3;12;128,3;30
"Nunspeet";100,6;28;348,4;97
"Oegstgeest";24,2;6;108,7;27
"Oirschot";48,1;9;181,6;34
"Oisterwijk";61;16;163,9;43
"Oldambt";5,2;2;13,1;5
"Oldebroek";80,4;19;300,3;71
"Oldenzaal";44;14;122,5;39
"Olst-Wijhe";49,3;9;153,4;28
"Ommen";38,9;7;177,7;32
"Oost Gelre";16,9;5;97,9;29
"Oosterhout";60,7;34;126,8;71
"Ooststellingwerf";3,9;1;7,9;2
"Oostzaan";82,2;8;174,7;17
"Opmeer";8,4;1;33,8;4
"Opsterland";16,8;5;53,8;16
"Oss";121,8;112;323,1;297
"Oude IJsselstreek";17,8;7;76,2;30
"Ouder-Amstel";35,6;5;149,7;21
"Oudewater";205,4;21;381,4;39
"Overbetuwe";106,5;51;177,4;85
"Papendrecht";21,8;7;118,3;38
"Peel en Maas";301,7;131;481,3;209
"Pekela";32,8;4;32,8;4
"Pijnacker-Nootdorp";32,5;18;90,4;50
"Purmerend";67,7;55;157,6;128
"Putten";12,4;3;58,1;14
"Raalte";53;20;114;43
"Reimerswaal";17,6;4;83,6;19
"Renkum";44,6;14;111,5;35
"Renswoude";73,4;4;165,2;9
"Reusel-De Mierden";53,4;7;106,8;14
"Rheden";68,6;30;121,2;53
"Rhenen";14,9;3;64,6;13
"Ridderkerk";60,6;28;145;67
"Rijssen-Holten";52,4;20;180,7;69
"Rijswijk";29,4;16;80,8;44
"Roerdalen";116,7;24;170,1;35
"Roermond";79;46;151,1;88
"Roosendaal";23,3;18;142,4;110
"Rotterdam";40,1;261;171,9;1120
"Rozendaal";58,7;1;117,3;2
"Rucphen";30,6;7;131,2;30
"s-Gravenhage";35;191;101,6;554
"Schagen";32,3;15;109,7;51
"Scherpenzeel";20,2;2;151,8;15
"Schiedam";38,1;30;96,5;76
"Schiermonnikoog";0;0;0;0
"Schouwen-Duiveland";26,6;9;65;22
"Simpelveld";151,6;16;255,9;27
"Sint Anthonis";154,2;18;428,4;50
"Sint-Michielsgestel";75,3;22;191,8;56
"Sittard-Geleen";95,2;88;217,5;201
"Sliedrecht";23,8;6;111;28
"Sluis";30,2;7;60,3;14
"Smallingerland";10,7;6;41;23
"Soest";36,5;17;115,9;54
"Someren";108,4;21;314,8;61
"Son en Breugel";132,8;23;277,1;48
"Stadskanaal";6,3;2;9,5;3
"Staphorst";29,2;5;192,5;33
"Stede Broec";73,6;16;165,6;36
"Steenbergen";44,9;11;167,3;41
"Steenwijkerland";22,7;10;88,4;39
"Stein";144;36;260;65
"Stichtse Vecht";38,5;25;90,9;59
"Súdwest-Fryslân";17,8;16;55,6;50
"Terneuzen";34,9;19;124,9;68
"Terschelling";0;0;20,5;1
"Texel";22,1;3;73,7;10
"Teylingen";32,1;12;74,8;28
"Tholen";128,1;33;364,9;94
"Tiel";80,6;34;142,3;60
"Tilburg";71,9;158;212,5;467
"Tubbergen";47;10;277,3;59
"Twenterand";23,7;8;103,7;35
"Tynaarlo";20,7;7;91,5;31
"Tytsjerksteradiel";12,5;4;43,7;14
"Uden";208,9;88;486,7;205
"Uitgeest";22;3;102,6;14
"Uithoorn";40,7;12;98,4;29
"Urk";90,3;19;190,2;40
"Utrecht";43,1;154;142,6;510
"Utrechtse Heuvelrug";42,3;21;118,9;59
"Vaals";79,2;8;158,4;16
"Valkenburg aan de Geul";79,5;13;275,1;45
"Valkenswaard";35,3;11;269,2;84
"Veendam";3,7;1;21,9;6
"Veenendaal";42,1;28;100,8;67
"Veere";22,8;5;86,8;19
"Veldhoven";46,2;21;138,6;63
"Velsen";36,4;25;235,9;162
"Venlo";110;112;179,8;183
"Venray";80,3;35;149,1;65
"Vijfheerenlanden";35,2;20;239,4;136
"Vlaardingen";36,8;27;156,6;115
"Vlieland";0;0;0;0
"Vlissingen";18;8;96,9;43
"Voerendaal";96,2;12;168,4;21
"Voorschoten";31,2;8;89,8;23
"Voorst";36,7;9;167;41
"Vught";124,3;33;256,1;68
"Waadhoeke";13;6;115;53
"Waalre";28,6;5;114,6;20
"Waalwijk";47,3;23;181;88
"Waddinxveen";37,6;11;99;29
"Wageningen";27,7;11;63;25
"Wassenaar";26,7;7;87,7;23
"Waterland";68,9;12;120,5;21
"Weert";109,8;55;187,6;94
"Weesp";45,6;9;136,9;27
"West Betuwe";54,7;28;181,6;93
"West Maas en Waal";56,9;11;248,4;48
"Westerkwartier";20,5;13;72,6;46
"Westerveld";30,8;6;107,9;21
"Westervoort";60,1;9;93,5;14
"Westerwolde";19,4;5;19,4;5
"Westland";36,2;40;117,8;130
"Weststellingwerf";7,7;2;42,4;11
"Westvoorne";40,7;6;135,8;20
"Wierden";16,4;4;118,7;29
"Wijchen";87,5;36;192,1;79
"Wijdemeren";28,7;7;65,7;16
"Wijk bij Duurstede";29,3;7;71,1;17
"Winterswijk";6,9;2;48,5;14
"Woensdrecht";18,3;4;86,8;19
"Woerden";70,8;37;166,4;87
"Wormerland";98,2;16;177,9;29
"Woudenberg";52,4;7;142,2;19
"Zaanstad";56,2;88;127;199
"Zaltbommel";58,8;17;128;37
"Zandvoort";46,7;8;151,9;26
"Zeewolde";35,3;8;79,4;18
"Zeist";40;26;130,9;85
"Zevenaar";73,2;32;123,5;54
"Zoetermeer";27,1;34;60,7;76
"Zoeterwoude";23,2;2;81,3;7
"Zuidplas";36,5;16;132,1;58
"Zundert";73,3;16;197,1;43
"Zutphen";31,3;15;89,7;43
"Zwartewaterland";132,2;30;431,9;98
"Zwijndrecht";26,8;12;122,9;55
"Zwolle";33,4;43;161,5;208
