"Category";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"'s-Hertogenbosch";451;290,8;126;81,2;72;46,4
"Aa en Hunze";14;55;1;3,9;0;0
"Aalsmeer";37;116,1;9;28,3;2;6,3
"Aalten";55;202,8;6;22,1;6;22,1
"Achtkarspelen";10;35,9;0;0;0;0
"Alblasserdam";40;198,4;9;44,6;2;9,9
"Albrandswaard";88;343,9;11;43;7;27,4
"Alkmaar";225;205,6;53;48,4;25;22,8
"Almelo";89;121,8;22;30,1;9;12,3
"Almere";368;173,7;120;56,6;14;6,6
"Alphen aan den Rijn";171;152,8;58;51,8;23;20,6
"Alphen-Chaam";45;440,6;17;166,5;5;49
"Altena";119;212,6;31;55,4;11;19,6
"Ameland";0;0;0;0;0;0
"Amersfoort";195;124;58;36,9;23;14,6
"Amstelveen";297;323,9;55;60;34;37,1
"Amsterdam";2128;243,8;583;66,8;227;26
"Apeldoorn";373;227,7;74;45,2;46;28,1
"Appingedam";5;42,9;3;25,8;0;0
"Arnhem";268;166,1;64;39,7;23;14,3
"Assen";42;61,2;12;17,5;2;2,9
"Asten";73;436,2;18;107,6;11;65,7
"Baarle-Nassau";21;306,1;7;102;2;29,2
"Baarn";55;221,1;11;44,2;8;32,2
"Barendrecht";118;242,2;36;73,9;12;24,6
"Barneveld";112;189,6;18;30,5;6;10,2
"Beek";43;271;15;94,5;5;31,5
"Beekdaelen";157;436,4;49;136,2;21;58,4
"Beemster";9;89,8;4;39,9;1;10
"Beesel";41;304,1;20;148,3;8;59,3
"Berg en Dal";148;423;28;80;15;42,9
"Bergeijk";51;273,6;17;91,2;4;21,5
"Bergen (L.)";23;175,8;7;53,5;2;15,3
"Bergen (NH.)";53;177,6;16;53,6;3;10,1
"Bergen op Zoom";112;166;22;32,6;9;13,3
"Berkelland";70;160;10;22,9;7;16
"Bernheze";263;841,7;97;310,4;63;201,6
"Best";68;226,8;31;103,4;10;33,4
"Beuningen";64;247,2;18;69,5;5;19,3
"Beverwijk";71;170,6;15;36;9;21,6
"Bladel";60;294,2;19;93,2;8;39,2
"Blaricum";26;225,4;8;69,3;2;17,3
"Bloemendaal";46;195,2;7;29,7;5;21,2
"Bodegraven-Reeuwijk";49;140,5;7;20,1;1;2,9
"Boekel";88;816;35;324,6;21;194,7
"Borger-Odoorn";9;35,2;4;15,7;3;11,7
"Borne";49;210,2;14;60,1;6;25,7
"Borsele";22;96,8;5;22;0;0
"Boxmeer";113;384,7;18;61,3;24;81,7
"Boxtel";74;240,2;23;74,7;12;39
"Breda";450;244,2;143;77,6;59;32
"Brielle";31;179,4;11;63,7;0;0
"Bronckhorst";69;191,4;17;47,2;6;16,6
"Brummen";33;159;16;77,1;5;24,1
"Brunssum";88;316,4;42;151;13;46,7
"Bunnik";38;250,1;9;59,2;1;6,6
"Bunschoten";60;274,4;9;41,2;7;32
"Buren";46;172;16;59,8;6;22,4
"Capelle aan den IJssel";262;390,2;45;67;51;75,9
"Castricum";75;208,4;14;38,9;9;25
"Coevorden";56;158,7;13;36,8;1;2,8
"Cranendonck";166;784,3;62;292,9;35;165,4
"Cuijk";69;274,5;11;43,8;9;35,8
"Culemborg";58;200,3;21;72,5;7;24,2
"Dalfsen";77;269,4;16;56;6;21
"Dantumadiel";6;31,7;2;10,6;0;0
"De Bilt";137;317,7;24;55,7;18;41,7
"De Fryske Marren";57;110,5;15;29,1;5;9,7
"De Ronde Venen";89;200,2;39;87,7;11;24,7
"De Wolden";44;180,9;11;45,2;2;8,2
"Delft";131;126,4;38;36,7;11;10,6
"Delfzijl";17;68,9;6;24,3;0;0
"Den Helder";37;65,7;12;21,3;1;1,8
"Deurne";151;465;53;163,2;21;64,7
"Deventer";238;236,3;45;44,7;31;30,8
"Diemen";91;295,6;17;55,2;14;45,5
"Dinkelland";71;268,2;19;71,8;9;34
"Doesburg";32;288,9;9;81,2;6;54,2
"Doetinchem";92;158,6;21;36,2;15;25,9
"Dongen";74;282,2;19;72,4;11;41,9
"Dordrecht";288;241,4;81;67,9;25;21
"Drechterland";43;218,1;4;20,3;8;40,6
"Drimmelen";63;231;18;66;7;25,7
"Dronten";109;262,2;29;69,8;11;26,5
"Druten";111;586,7;24;126,9;8;42,3
"Duiven";45;179,1;14;55,7;6;23,9
"Echt-Susteren";86;272;39;123,3;15;47,4
"Edam-Volendam";85;234,8;21;58;3;8,3
"Ede";194;165,6;53;45,2;20;17,1
"Eemnes";14;151,4;2;21,6;1;10,8
"Eersel";62;321;25;129,4;9;46,6
"Eijsden-Margraten";155;601,9;52;201,9;26;101
"Eindhoven";459;195,8;166;70,8;78;33,3
"Elburg";120;518,1;24;103,6;8;34,5
"Emmen";101;94,3;20;18,7;10;9,3
"Enkhuizen";29;156;18;96,8;4;21,5
"Enschede";195;122,1;52;32,6;18;11,3
"Epe";131;394,7;40;120,5;19;57,3
"Ermelo";118;437;24;88,9;15;55,5
"Etten-Leur";167;380,6;40;91,2;27;61,5
"Geertruidenberg";42;195;11;51,1;6;27,9
"Geldrop-Mierlo";104;261,7;32;80,5;16;40,3
"Gemert-Bakel";172;559,8;76;247,4;30;97,6
"Gennep";54;319,1;16;94,5;10;59,1
"Gilze en Rijen";73;276,1;18;68,1;15;56,7
"Goeree-Overflakkee";251;501,5;54;107,9;32;63,9
"Goes";69;181,2;11;28,9;10;26,3
"Goirle";70;292,8;30;125,5;17;71,1
"Gooise Meren";99;170,6;23;39,6;8;13,8
"Gorinchem";143;386,4;17;45,9;14;37,8
"Gouda";232;315,9;37;50,4;39;53,1
"Grave";67;538,7;21;168,9;10;80,4
"Groningen";162;69,6;18;7,7;3;1,3
"Gulpen-Wittem";74;522;21;148,1;13;91,7
"Haaksbergen";53;218;14;57,6;6;24,7
"Haaren";44;306,2;18;125,3;7;48,7
"Haarlem";255;156,5;60;36,8;50;30,7
"Haarlemmermeer";235;150,6;64;41;23;14,7
"Halderberge";53;175,1;13;42,9;6;19,8
"Hardenberg";171;280,6;23;37,7;8;13,1
"Harderwijk";135;278,8;33;68,1;15;31
"Hardinxveld-Giessendam";30;164;1;5,5;2;10,9
"Harlingen";16;101,8;4;25,4;1;6,4
"Hattem";41;335,7;12;98,3;5;40,9
"Heemskerk";79;201,6;25;63,8;10;25,5
"Heemstede";88;323,1;10;36,7;32;117,5
"Heerde";185;995,3;47;252,9;28;150,6
"Heerenveen";87;172,3;13;25,7;19;37,6
"Heerhugowaard";138;239,6;27;46,9;8;13,9
"Heerlen";342;392,8;119;136,7;49;56,3
"Heeze-Leende";58;359,1;15;92,9;8;49,5
"Heiloo";45;187,7;9;37,5;7;29,2
"Hellendoorn";93;258,9;8;22,3;9;25,1
"Hellevoetsluis";61;151,9;14;34,9;2;5
"Helmond";328;354,9;108;116,8;40;43,3
"Hendrik-Ido-Ambacht";42;134,6;7;22,4;4;12,8
"Hengelo";117;144,2;21;25,9;18;22,2
"Het Hogeland";29;60,6;7;14,6;3;6,3
"Heumen";69;419,5;17;103,3;8;48,6
"Heusden";134;299,8;45;100,7;20;44,7
"Hillegom";31;139,6;7;31,5;2;9
"Hilvarenbeek";38;244,9;9;58;5;32,2
"Hilversum";177;194,8;28;30,8;22;24,2
"Hoeksche Waard";282;322,4;74;84,6;20;22,9
"Hof van Twente";61;174,2;15;42,8;4;11,4
"Hollands Kroon";60;123,9;26;53,7;6;12,4
"Hoogeveen";87;156,2;19;34,1;7;12,6
"Hoorn";87;118,8;34;46,4;12;16,4
"Horst aan de Maas";120;282,8;41;96,6;23;54,2
"Houten";122;243,3;24;47,9;12;23,9
"Huizen";116;281,1;20;48,5;9;21,8
"Hulst";29;105,2;9;32,7;4;14,5
"IJsselstein";130;381,1;35;102,6;32;93,8
"Kaag en Braassem";26;95,2;6;22;2;7,3
"Kampen";325;598,1;59;108,6;26;47,8
"Kapelle";22;173,4;3;23,6;1;7,9
"Katwijk";183;278,3;29;44,1;12;18,2
"Kerkrade";190;415,4;61;133,4;29;63,4
"Koggenland";34;149,4;6;26,4;6;26,4
"Krimpen aan den IJssel";69;233,6;9;30,5;7;23,7
"Krimpenerwaard";144;255,7;44;78,1;21;37,3
"Laarbeek";112;497,1;38;168,7;27;119,8
"Landerd";137;870,9;39;247,9;21;133,5
"Landgraaf";132;352,4;53;141,5;12;32
"Landsmeer";23;200,1;3;26,1;3;26,1
"Langedijk";43;152,7;16;56,8;2;7,1
"Lansingerland";169;270,9;41;65,7;20;32,1
"Laren";24;212,9;8;71;2;17,7
"Leeuwarden";54;43,5;33;26,6;6;4,8
"Leiden";137;109,4;38;30,4;17;13,6
"Leiderdorp";31;114,6;12;44,3;6;22,2
"Leidschendam-Voorburg";98;128;19;24,8;13;17
"Lelystad";158;201;62;78,9;24;30,5
"Leudal";175;487,5;52;144,9;28;78
"Leusden";46;151,3;9;29,6;4;13,2
"Lingewaard";107;229,6;30;64,4;9;19,3
"Lisse";24;104,5;6;26,1;2;8,7
"Lochem";85;252;12;35,6;12;35,6
"Loon op Zand";54;230,7;24;102,5;6;25,6
"Lopik";63;435,4;19;131,3;7;48,4
"Loppersum";2;21;0;0;0;0
"Losser";23;101,4;7;30,9;0;0
"Maasdriel";44;175,8;15;59,9;7;28
"Maasgouw";99;413,2;27;112,7;12;50,1
"Maassluis";54;162,6;18;54,2;3;9
"Maastricht";747;614,5;176;144,8;113;93
"Medemblik";69;153;18;39,9;6;13,3
"Meerssen";96;509,8;21;111,5;11;58,4
"Meierijstad";529;651,5;208;256,2;124;152,7
"Meppel";31;91,4;8;23,6;3;8,8
"Middelburg";57;116,8;18;36,9;9;18,4
"Midden-Delfland";16;82,7;4;20,7;0;0
"Midden-Drenthe";20;60,3;6;18,1;0;0
"Midden-Groningen";30;49,3;6;9,9;3;4,9
"Mill en Sint Hubert";36;329;9;82,3;5;45,7
"Moerdijk";71;191,2;14;37,7;8;21,5
"Molenlanden";110;250,4;18;41;8;18,2
"Montferland";85;236,1;18;50;7;19,4
"Montfoort";37;265,8;12;86,2;5;35,9
"Mook en Middelaar";35;446;6;76,5;5;63,7
"Neder-Betuwe";117;480,7;32;131,5;20;82,2
"Nederweert";50;293,7;31;182,1;7;41,1
"Nieuwegein";116;182,8;41;64,6;13;20,5
"Nieuwkoop";46;159,7;8;27,8;4;13,9
"Nijkerk";54;125,1;22;51;3;6,9
"Nijmegen";555;312,3;123;69,2;57;32,1
"Nissewaard";164;192,4;51;59,8;16;18,8
"Noardeast-Fryslân";24;53;6;13,3;4;8,8
"Noord-Beveland";7;94,7;1;13,5;0;0
"Noordenveld";18;57,6;4;12,8;1;3,2
"Noordoostpolder";75;158,7;14;29,6;9;19
"Noordwijk";43;98,8;16;36,8;2;4,6
"Nuenen, Gerwen en Nederwetten";49;209,6;17;72,7;8;34,2
"Nunspeet";204;732,6;44;158;20;71,8
"Oegstgeest";39;157;8;32,2;3;12,1
"Oirschot";58;309,8;12;64,1;9;48,1
"Oisterwijk";59;224,8;21;80;9;34,3
"Oldambt";13;34;7;18,3;0;0
"Oldebroek";152;642,8;36;152,3;19;80,4
"Oldenzaal";48;150,8;14;44;7;22
"Olst-Wijhe";48;263;12;65,7;8;43,8
"Ommen";50;277,7;9;50;2;11,1
"Oost Gelre";52;175,5;14;47,3;6;20,3
"Oosterhout";111;198,2;45;80,4;14;25
"Ooststellingwerf";7;27,5;3;11,8;0;0
"Oostzaan";26;267,1;11;113;2;20,5
"Opmeer";8;67,6;1;8,4;1;8,4
"Opsterland";23;77,3;7;23,5;0;0
"Oss";452;491,7;164;178,4;85;92,5
"Oude IJsselstreek";75;190,4;17;43,2;9;22,8
"Ouder-Amstel";33;235,2;5;35,6;0;0
"Oudewater";52;508,5;25;244,5;8;78,2
"Overbetuwe";121;252,6;56;116,9;15;31,3
"Papendrecht";57;177,4;8;24,9;6;18,7
"Peel en Maas";261;601,1;142;327;59;135,9
"Pekela";5;41;4;32,8;0;0
"Pijnacker-Nootdorp";112;202,4;23;41,6;14;25,3
"Purmerend";204;251,1;64;78,8;30;36,9
"Putten";23;95,4;5;20,7;0;0
"Raalte";146;387,2;24;63,6;16;42,4
"Reimerswaal";29;127,6;4;17,6;2;8,8
"Renkum";66;210,2;14;44,6;5;15,9
"Renswoude";19;348,8;5;91,8;5;91,8
"Reusel-De Mierden";23;175,4;10;76,3;2;15,3
"Rheden";101;230,9;32;73,2;14;32
"Rhenen";32;159;9;44,7;6;29,8
"Ridderkerk";119;257,6;35;75,8;12;26
"Rijssen-Holten";163;426,9;29;76;13;34,1
"Rijswijk";109;200,2;33;60,6;18;33,1
"Roerdalen";47;228,5;27;131,2;7;34
"Roermond";123;211,1;58;99,6;21;36
"Roosendaal";205;265,5;27;35;19;24,6
"Rotterdam";2104;323;458;70,3;274;42,1
"Rozendaal";3;176;1;58,7;0;0
"Rucphen";65;284,2;9;39,3;9;39,3
"s-Gravenhage";1219;223,6;287;52,6;184;33,8
"Schagen";72;154,9;19;40,9;9;19,4
"Scherpenzeel";25;253;4;40,5;2;20,2
"Schiedam";194;246,4;47;59,7;19;24,1
"Schiermonnikoog";0;0;0;0;0;0
"Schouwen-Duiveland";56;165,4;11;32,5;3;8,9
"Simpelveld";41;388,6;18;170,6;5;47,4
"Sint Anthonis";61;522,6;20;171,4;11;94,2
"Sint-Michielsgestel";96;328,7;36;123,3;15;51,4
"Sittard-Geleen";383;414,4;111;120,1;57;61,7
"Sliedrecht";51;202,2;9;35,7;5;19,8
"Sluis";17;73,2;8;34,5;4;17,2
"Smallingerland";53;94,4;9;16;5;8,9
"Soest";80;171,6;22;47,2;11;23,6
"Someren";99;510,9;31;160;8;41,3
"Son en Breugel";70;404,1;31;179;14;80,8
"Stadskanaal";5;15,8;2;6,3;1;3,2
"Staphorst";59;344,1;8;46,7;4;23,3
"Stede Broec";48;220,9;19;87,4;5;23
"Steenbergen";78;318,4;13;53,1;12;49
"Steenwijkerland";85;192,6;14;31,7;5;11,3
"Stein";111;444;43;172;15;60
"Stichtse Vecht";99;152,5;31;47,7;10;15,4
"Súdwest-Fryslân";95;105,6;17;18,9;3;3,3
"Terneuzen";102;187,4;24;44,1;3;5,5
"Terschelling";2;40,9;0;0;0;0
"Texel";10;73,7;4;29,5;1;7,4
"Teylingen";49;130,9;12;32,1;2;5,3
"Tholen";134;520,2;38;147,5;14;54,4
"Tiel";103;244,3;41;97,2;18;42,7
"Tilburg";681;309,8;218;99,2;152;69,2
"Tubbergen";79;371,3;12;56,4;5;23,5
"Twenterand";57;168,9;12;35,6;2;5,9
"Tynaarlo";38;112,2;9;26,6;0;0
"Tytsjerksteradiel";15;46,8;4;12,5;1;3,1
"Uden";254;603;116;275,4;63;149,6
"Uitgeest";22;161,2;5;36,6;1;7,3
"Uithoorn";47;159,5;16;54,3;2;6,8
"Urk";72;342,3;22;104,6;4;19
"Utrecht";908;253,8;243;67,9;90;25,2
"Utrechtse Heuvelrug";98;197,6;29;58,5;14;28,2
"Vaals";29;287,2;10;99;1;9,9
"Valkenburg aan de Geul";79;482,9;17;103,9;7;42,8
"Valkenswaard";171;548,1;18;57,7;35;112,2
"Veendam";8;29,2;2;7,3;0;0
"Veenendaal";163;245,1;47;70,7;10;15
"Veere";26;118,8;6;27,4;2;9,1
"Veldhoven";121;266,2;31;68,2;16;35,2
"Velsen";256;372,9;31;45,2;38;55,3
"Venlo";291;285,9;125;122,8;60;58,9
"Venray";100;229,3;37;84,9;17;39
"Vijfheerenlanden";237;417,1;32;56,3;36;63,4
"Vlaardingen";234;318,6;40;54,5;24;32,7
"Vlieland";0;0;0;0;0;0
"Vlissingen";50;112,7;9;20,3;5;11,3
"Voerendaal";44;352,8;17;136,3;7;56,1
"Voorschoten";50;195,3;9;35,2;8;31,2
"Voorst";47;191,5;14;57;11;44,8
"Vught";99;372,8;41;154,4;17;64
"Waadhoeke";90;195,3;11;23,9;11;23,9
"Waalre";29;166,2;7;40,1;4;22,9
"Waalwijk";143;294,1;29;59,6;30;61,7
"Waddinxveen";56;191,2;16;54,6;6;20,5
"Wageningen";46;115,9;20;50,4;9;22,7
"Wassenaar";47;179,3;8;30,5;11;42
"Waterland";30;172,2;16;91,8;4;23
"Weert";125;249,5;65;129,7;11;22
"Weesp";70;354,8;9;45,6;11;55,8
"West Betuwe";171;334;42;82;25;48,8
"West Maas en Waal";77;398,6;17;88;9;46,6
"Westerkwartier";57;89,9;14;22,1;4;6,3
"Westerveld";32;164,4;9;46,2;3;15,4
"Westervoort";34;227,1;12;80,1;5;33,4
"Westerwolde";6;23,3;5;19,4;0;0
"Westland";244;221,1;57;51,7;26;23,6
"Weststellingwerf";27;104,2;3;11,6;4;15,4
"Westvoorne";25;169,7;6;40,7;0;0
"Wierden";46;188,2;5;20,5;5;20,5
"Wijchen";132;321;40;97,3;11;26,7
"Wijdemeren";26;106,7;8;32,8;0;0
"Wijk bij Duurstede";32;133,8;9;37,6;1;4,2
"Winterswijk";39;135,1;5;17,3;3;10,4
"Woensdrecht";60;274,2;5;22,8;7;32
"Woerden";154;294,5;46;88;18;34,4
"Wormerland";42;257,7;20;122,7;6;36,8
"Woudenberg";30;224,5;9;67,4;2;15
"Zaanstad";351;224;110;70,2;40;25,5
"Zaltbommel";85;294,1;19;65,7;9;31,1
"Zandvoort";32;187;10;58,4;8;46,7
"Zeewolde";38;167,7;11;48,6;4;17,7
"Zeist";152;234,1;34;52,4;17;26,2
"Zevenaar";90;205,8;43;98,3;14;32
"Zoetermeer";176;140,5;46;36,7;12;9,6
"Zoeterwoude";10;116,1;3;34,8;0;0
"Zuidplas";124;282,5;23;52,4;19;43,3
"Zundert";68;311,6;20;91,7;9;41,2
"Zutphen";87;181,5;26;54,2;12;25
"Zwartewaterland";139;612,6;35;154,3;18;79,3
"Zwijndrecht";128;286,1;22;49,2;15;33,5
"Zwolle";346;268,6;53;41,1;46;35,7
