"Category";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"'s-Hertogenbosch";460;296,6;126;81,2;74;47,7
"Aa en Hunze";14;55;1;3,9;0;0
"Aalsmeer";37;116,1;9;28,3;2;6,3
"Aalten";55;202,8;8;29,5;6;22,1
"Achtkarspelen";11;39,5;0;0;0;0
"Alblasserdam";41;203,3;9;44,6;3;14,9
"Albrandswaard";88;343,9;12;46,9;7;27,4
"Alkmaar";226;206,5;53;48,4;25;22,8
"Almelo";89;121,8;22;30,1;9;12,3
"Almere";376;177,5;121;57,1;17;8
"Alphen aan den Rijn";172;153,7;58;51,8;23;20,6
"Alphen-Chaam";45;440,6;17;166,5;5;49
"Altena";120;214,4;31;55,4;11;19,6
"Ameland";0;0;0;0;0;0
"Amersfoort";196;124,6;58;36,9;23;14,6
"Amstelveen";298;325;55;60;34;37,1
"Amsterdam";2142;245,4;584;66,9;229;26,2
"Apeldoorn";378;230,7;78;47,6;48;29,3
"Appingedam";5;42,9;3;25,8;0;0
"Arnhem";269;166,7;64;39,7;23;14,3
"Assen";42;61,2;12;17,5;2;2,9
"Asten";73;436,2;18;107,6;11;65,7
"Baarle-Nassau";23;335,3;9;131,2;2;29,2
"Baarn";56;225,1;11;44,2;8;32,2
"Barendrecht";120;246,3;36;73,9;12;24,6
"Barneveld";112;189,6;18;30,5;6;10,2
"Beek";43;271;15;94,5;5;31,5
"Beekdaelen";159;442;50;139;21;58,4
"Beemster";9;89,8;4;39,9;1;10
"Beesel";41;304,1;20;148,3;8;59,3
"Berg en Dal";149;425,8;28;80;15;42,9
"Bergeijk";52;279;17;91,2;4;21,5
"Bergen (L.)";23;175,8;7;53,5;2;15,3
"Bergen (NH.)";54;180,9;16;53,6;3;10,1
"Bergen op Zoom";117;173,4;22;32,6;9;13,3
"Berkelland";70;160;11;25,1;7;16
"Bernheze";264;844,9;97;310,4;63;201,6
"Best";68;226,8;31;103,4;10;33,4
"Beuningen";64;247,2;18;69,5;5;19,3
"Beverwijk";71;170,6;15;36;9;21,6
"Bladel";60;294,2;20;98,1;8;39,2
"Blaricum";26;225,4;8;69,3;2;17,3
"Bloemendaal";48;203,6;7;29,7;5;21,2
"Bodegraven-Reeuwijk";50;143,4;7;20,1;1;2,9
"Boekel";88;816;35;324,6;21;194,7
