"Category";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"'s-Hertogenbosch";423;272,7;123;79,3;65;41,9
"Aa en Hunze";14;55;1;3,9;0;0
"Aalsmeer";37;116,1;8;25,1;2;6,3
"Aalten";51;188,1;6;22,1;5;18,4
"Achtkarspelen";10;35,9;0;0;0;0
"Alblasserdam";39;193,4;9;44,6;1;5
"Albrandswaard";80;312,6;9;35,2;6;23,4
"Alkmaar";212;193,7;52;47,5;22;20,1
"Almelo";88;120,4;21;28,7;6;8,2
"Almere";303;143;113;53,3;11;5,2
"Alphen aan den Rijn";156;139,4;57;50,9;20;17,9
"Alphen-Chaam";45;440,6;17;166,5;5;49
"Altena";113;201,9;30;53,6;11;19,6
"Ameland";0;0;0;0;0;0
"Amersfoort";158;100,5;56;35,6;20;12,7
"Amstelveen";285;310,8;55;60;33;36
"Amsterdam";1763;202;527;60,4;154;17,6
"Apeldoorn";334;203,9;59;36;37;22,6
"Appingedam";5;42,9;3;25,8;0;0
"Arnhem";237;146,9;58;35,9;21;13
"Assen";38;55,4;12;17,5;2;2,9
"Asten";68;406,4;15;89,6;9;53,8
"Baarle-Nassau";5;72,9;1;14,6;0;0
"Baarn";45;180,9;10;40,2;6;24,1
"Barendrecht";103;211,4;29;59,5;8;16,4
"Barneveld";102;172,7;18;30,5;6;10,2
"Beek";40;252,1;15;94,5;3;18,9
"Beekdaelen";137;380,8;45;125,1;20;55,6
"Beemster";8;79,8;4;39,9;1;10
"Beesel";41;304,1;20;148,3;8;59,3
"Berg en Dal";163;465,8;32;91,5;15;42,9
"Bergeijk";48;257,5;14;75,1;4;21,5
"Bergen (L.)";20;152,8;7;53,5;2;15,3
"Bergen (NH.)";50;167,5;16;53,6;3;10,1
"Bergen op Zoom";96;142,2;21;31,1;8;11,9
"Berkelland";65;148,6;6;13,7;6;13,7
"Bernheze";250;800,1;93;297,6;56;179,2
"Best";56;186,8;31;103,4;10;33,4
"Beuningen";59;227,9;19;73,4;4;15,4
"Beverwijk";68;163,4;15;36;6;14,4
"Bladel";52;255;18;88,3;7;34,3
"Blaricum";23;199,4;7;60,7;0;0
"Bloemendaal";41;173,9;6;25,5;3;12,7
"Bodegraven-Reeuwijk";43;123,3;7;20,1;2;5,7
"Boekel";88;816;35;324,6;21;194,7
"Borger-Odoorn";8;31,3;3;11,7;3;11,7
"Borne";46;197,3;14;60,1;6;25,7
"Borsele";22;96,8;5;22;0;0
"Boxmeer";104;354,1;18;61,3;19;64,7
"Boxtel";58;188,3;22;71,4;12;39
"Breda";432;234,4;142;77,1;55;29,8
"Brielle";28;162;11;63,7;0;0
"Bronckhorst";61;169,2;13;36,1;5;13,9
"Brummen";36;173,4;18;86,7;6;28,9
"Brunssum";79;284;37;133;13;46,7
"Bunnik";29;190,9;7;46,1;1;6,6
"Bunschoten";53;242,4;8;36,6;6;27,4
"Buren";39;145,8;14;52,4;6;22,4
"Capelle aan den IJssel";244;363,4;44;65,5;41;61,1
"Castricum";72;200,1;14;38,9;9;25
"Coevorden";54;153;12;34;1;2,8
"Cranendonck";159;751,2;59;278,7;31;146,5
"Cuijk";64;254,6;11;43,8;9;35,8
"Culemborg";54;186,5;21;72,5;7;24,2
"Dalfsen";74;258,9;15;52,5;6;21
"Dantumadiel";6;31,7;2;10,6;0;0
"De Bilt";113;262;24;55,7;10;23,2
"De Fryske Marren";54;104,7;14;27,1;5;9,7
"De Ronde Venen";79;177,7;38;85,5;10;22,5
"De Wolden";40;164,4;11;45,2;0;0
"Delft";117;112,9;38;36,7;9;8,7
"Delfzijl";16;64,9;5;20,3;0;0
"Den Helder";30;53,3;8;14,2;0;0
"Deurne";136;418,8;51;157;17;52,3
"Deventer";198;196,6;42;41,7;28;27,8
"Diemen";80;259,9;16;52;8;26
"Dinkelland";69;260,7;17;64,2;7;26,4
"Doesburg";24;216,6;7;63,2;6;54,2
"Doetinchem";85;146,5;16;27,6;13;22,4
"Dongen";70;266,9;18;68,6;10;38,1
"Dordrecht";247;207;78;65,4;22;18,4
"Drechterland";42;213;4;20,3;8;40,6
"Drimmelen";59;216,3;18;66;5;18,3
"Dronten";101;243;27;65;11;26,5
"Druten";107;565,6;23;121,6;8;42,3
"Duiven";40;159,2;13;51,7;4;15,9
"Echt-Susteren";80;253;37;117;15;47,4
"Edam-Volendam";76;209,9;21;58;3;8,3
"Ede";182;155,3;53;45,2;19;16,2
"Eemnes";14;151,4;2;21,6;1;10,8
"Eersel";58;300,3;22;113,9;9;46,6
"Eijsden-Margraten";141;547,5;51;198;22;85,4
"Eindhoven";416;177,4;149;63,6;69;29,4
"Elburg";109;470,6;20;86,4;7;30,2
"Emmen";92;85,9;20;18,7;10;9,3
"Enkhuizen";28;150,6;18;96,8;4;21,5
"Enschede";175;109,6;51;31,9;15;9,4
