"Category";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"'s-Hertogenbosch";323;208,2;111;71,6;52;33,5
"Aa en Hunze";11;43,2;1;3,9;0;0
"Aalsmeer";31;97,3;7;22;2;6,3
"Aalten";30;110,6;2;7,4;3;11,1
"Achtkarspelen";7;25,1;0;0;0;0
"Alblasserdam";28;138,9;8;39,7;1;5
"Albrandswaard";62;242,3;8;31,3;3;11,7
"Alkmaar";177;161,7;48;43,9;19;17,4
"Almelo";70;95,8;18;24,6;3;4,1
"Almere";192;90,6;99;46,7;5;2,4
"Alphen aan den Rijn";114;101,9;51;45,6;11;9,8
"Alphen-Chaam";40;391,7;15;146,9;4;39,2
"Altena";92;164,3;29;51,8;9;16,1
"Ameland";0;0;0;0;0;0
"Amersfoort";131;83,3;51;32,4;15;9,5
"Amstelveen";212;231,2;47;51,3;27;29,4
"Amsterdam";1305;149,5;439;50,3;102;11,7
"Apeldoorn";197;120,2;41;25;25;15,3
"Appingedam";2;17,2;2;17,2;0;0
"Arnhem";184;114;54;33,5;13;8,1
"Assen";31;45,2;10;14,6;2;2,9
"Asten";51;304,8;13;77,7;4;23,9
"Baarle-Nassau";4;58,3;1;14,6;0;0
"Baarn";31;124,6;10;40,2;1;4
"Barendrecht";75;154;29;59,5;5;10,3
"Barneveld";83;140,5;12;20,3;5;8,5
"Beek";29;182,8;14;88,2;3;18,9
"Beekdaelen";81;225,2;40;111,2;18;50
"Beemster";8;79,8;4;39,9;1;10
"Beesel";34;252,2;20;148,3;7;51,9
"Berg en Dal";132;377,3;29;82,9;13;37,2
"Bergeijk";38;203,9;14;75,1;4;21,5
"Bergen (L.)";13;99,4;6;45,9;2;15,3
"Bergen (NH.)";47;157,5;16;53,6;3;10,1
"Bergen op Zoom";60;88,9;20;29,6;4;5,9
"Berkelland";38;86,9;5;11,4;1;2,3
"Bernheze";212;678,5;77;246,4;37;118,4
"Best";46;153,4;31;103,4;7;23,3
"Beuningen";42;162,2;18;69,5;4;15,4
"Beverwijk";59;141,8;15;36;5;12
"Bladel";44;215,7;16;78,5;7;34,3
"Blaricum";18;156;5;43,3;0;0
"Bloemendaal";37;157;6;25,5;3;12,7
"Bodegraven-Reeuwijk";32;91,8;7;20,1;2;5,7
"Boekel";83;769,7;31;287,5;19;176,2
"Borger-Odoorn";5;19,6;2;7,8;3;11,7
"Borne";42;180,2;13;55,8;6;25,7
"Borsele";19;83,6;4;17,6;0;0
"Boxmeer";77;262,2;17;57,9;12;40,9
"Boxtel";43;139,6;17;55,2;10;32,5
"Breda";369;200,2;138;74,9;50;27,1
"Brielle";24;138,9;12;69,4;0;0
"Bronckhorst";37;102,6;5;13,9;4;11,1
"Brummen";27;130,1;11;53;5;24,1
"Brunssum";57;204,9;32;115;10;35,9
"Bunnik";20;131,7;7;46,1;1;6,6
"Bunschoten";36;164,6;5;22,9;2;9,1
"Buren";26;97,2;9;33,7;3;11,2
"Capelle aan den IJssel";176;262,1;34;50,6;24;35,7
"Castricum";58;161,2;13;36,1;7;19,5
"Coevorden";42;119;11;31,2;0;0
"Cranendonck";144;680,3;58;274;20;94,5
"Cuijk";44;175;9;35,8;7;27,8
"Culemborg";41;141,6;20;69,1;6;20,7
"Dalfsen";56;195,9;15;52,5;6;21
"Dantumadiel";6;31,7;2;10,6;0;0
"De Bilt";84;194,8;19;44,1;7;16,2
"De Fryske Marren";49;95;13;25,2;5;9,7
"De Ronde Venen";60;135;29;65,2;3;6,7
"De Wolden";31;127,4;9;37;0;0
"Delft";95;91,6;36;34,7;5;4,8
"Delfzijl";14;56,8;5;20,3;0;0
"Den Helder";28;49,7;8;14,2;0;0
"Deurne";114;351,1;50;154;14;43,1
"Deventer";124;123,1;39;38,7;22;21,8
"Diemen";22;71,5;5;16,2;3;9,7
"Dinkelland";62;234,2;17;64,2;6;22,7
"Doesburg";19;171,5;5;45,1;5;45,1
"Doetinchem";62;106,9;11;19;7;12,1
"Dongen";51;194,5;15;57,2;9;34,3
"Dordrecht";184;154,2;65;54,5;13;10,9
"Drechterland";34;172,4;3;15,2;8;40,6
"Drimmelen";44;161,3;17;62,3;4;14,7
"Dronten";68;163,6;23;55,3;4;9,6
"Druten";84;444;20;105,7;5;26,4
"Duiven";32;127,4;10;39,8;2;8
"Echt-Susteren";67;211,9;35;110,7;14;44,3
"Edam-Volendam";53;146,4;19;52,5;0;0
"Ede";138;117,8;50;42,7;14;11,9
"Eemnes";11;119;1;10,8;1;10,8
"Eersel";51;264,1;21;108,7;7;36,2
"Eijsden-Margraten";117;454,3;48;186,4;17;66
"Eindhoven";327;139,5;140;59,7;50;21,3
"Elburg";76;328,1;12;51,8;2;8,6
"Emmen";61;57;14;13,1;7;6,5
"Enkhuizen";27;145,2;18;96,8;2;10,8
"Enschede";145;90,8;47;29,4;13;8,1
"Epe";81;244,1;26;78,3;11;33,1
"Ermelo";72;266,6;18;66,7;10;37
"Etten-Leur";121;275,8;38;86,6;25;57
"Geertruidenberg";25;116,1;9;41,8;4;18,6
"Geldrop-Mierlo";75;188,8;24;60,4;13;32,7
"Gemert-Bakel";142;462,2;70;227,8;28;91,1
"Gennep";45;265,9;15;88,6;9;53,2
"Gilze en Rijen";53;200,5;17;64,3;9;34
"Goeree-Overflakkee";225;449,6;50;99,9;20;40
"Goes";60;157,6;10;26,3;8;21
"Goirle";60;251;25;104,6;14;58,6
"Gooise Meren";77;132,7;22;37,9;1;1,7
"Gorinchem";116;313,4;15;40,5;11;29,7
"Gouda";171;232,8;32;43,6;17;23,1
"Grave";43;345,7;17;136,7;6;48,2
"Groningen";141;60,5;16;6,9;2;0,9
"Gulpen-Wittem";43;303,3;15;105,8;5;35,3
"Haaksbergen";45;185,1;14;57,6;1;4,1
"Haaren";33;229,6;17;118,3;5;34,8
"Haarlem";222;136,2;54;33,1;42;25,8
"Haarlemmermeer";166;106,4;55;35,2;14;9
"Halderberge";46;151,9;11;36,3;6;19,8
"Hardenberg";132;216,6;21;34,5;6;9,8
"Harderwijk";66;136,3;16;33;10;20,6
"Hardinxveld-Giessendam";26;142,1;1;5,5;2;10,9
"Harlingen";12;76,3;3;19,1;0;0
"Hattem";36;294,8;10;81,9;4;32,8
"Heemskerk";69;176,1;26;66,3;8;20,4
"Heemstede";83;304,7;9;33;25;91,8
"Heerde";113;608;27;145,3;15;80,7
"Heerenveen";67;132,7;12;23,8;10;19,8
"Heerhugowaard";96;166,7;24;41,7;7;12,2
"Heerlen";218;250,4;98;112,6;38;43,6
"Heeze-Leende";46;284,8;13;80,5;6;37,2
"Heiloo";39;162,7;9;37,5;5;20,9
"Hellendoorn";42;116,9;7;19,5;2;5,6
"Hellevoetsluis";52;129,5;14;34,9;0;0
"Helmond";234;253,2;86;93;29;31,4
"Hendrik-Ido-Ambacht";22;70,5;5;16;2;6,4
"Hengelo";104;128,2;17;20,9;11;13,6
"Het Hogeland";23;48,1;7;14,6;1;2,1
"Heumen";46;279,6;16;97,3;4;24,3
"Heusden";90;201,3;38;85;11;24,6
"Hillegom";23;103,6;7;31,5;1;4,5
"Hilvarenbeek";29;186,9;6;38,7;4;25,8
"Hilversum";77;84,7;22;24,2;3;3,3
"Hoeksche Waard";169;193,2;65;74,3;7;8
"Hof van Twente";53;151,4;14;40;2;5,7
"Hollands Kroon";50;103,2;26;53,7;4;8,3
"Hoogeveen";44;79;12;21,5;2;3,6
"Hoorn";58;79,2;24;32,8;8;10,9
"Horst aan de Maas";93;219,2;40;94,3;16;37,7
"Houten";93;185,5;22;43,9;9;17,9
"Huizen";51;123,6;17;41,2;2;4,8
"Hulst";25;90,7;8;29;4;14,5
"IJsselstein";82;240,4;33;96,7;23;67,4
"Kaag en Braassem";17;62,3;6;22;2;7,3
"Kampen";246;452,7;53;97,5;20;36,8
"Kapelle";15;118,2;2;15,8;1;7,9
"Katwijk";100;152,1;21;31,9;7;10,6
"Kerkrade";98;214,2;51;111,5;17;37,2
"Koggenland";28;123,1;7;30,8;4;17,6
"Krimpen aan den IJssel";43;145,6;8;27,1;3;10,2
"Krimpenerwaard";109;193,5;40;71;19;33,7
"Laarbeek";77;341,8;35;155,3;23;102,1
"Landerd";105;667,5;29;184,4;14;89
"Landgraaf";96;256,3;45;120,1;11;29,4
"Landsmeer";17;147,9;3;26,1;2;17,4
"Langedijk";38;135;16;56,8;2;7,1
"Lansingerland";135;216,4;34;54,5;15;24
"Laren";21;186,3;8;71;1;8,9
"Leeuwarden";48;38,7;32;25,8;5;4
"Leiden";101;80,7;34;27,2;10;8
"Leiderdorp";21;77,6;9;33,3;3;11,1
"Leidschendam-Voorburg";64;83,6;19;24,8;4;5,2
"Lelystad";93;118,3;49;62,3;7;8,9
"Leudal";135;376,1;53;147,6;21;58,5
"Leusden";32;105,3;8;26,3;4;13,2
"Lingewaard";67;143,8;28;60,1;4;8,6
"Lisse";18;78,4;5;21,8;1;4,4
