"Category";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"'s-Hertogenbosch";447;288,2;126;81,2;72;46,4
"Aa en Hunze";14;55;1;3,9;0;0
"Aalsmeer";37;116,1;9;28,3;2;6,3
"Aalten";54;199,1;6;22,1;6;22,1
"Achtkarspelen";10;35,9;0;0;0;0
"Alblasserdam";40;198,4;9;44,6;2;9,9
"Albrandswaard";88;343,9;11;43;7;27,4
"Alkmaar";225;205,6;53;48,4;25;22,8
"Almelo";89;121,8;22;30,1;9;12,3
"Almere";360;169,9;119;56,2;13;6,1
"Alphen aan den Rijn";168;150,1;58;51,8;23;20,6
"Alphen-Chaam";45;440,6;17;166,5;5;49
"Altena";119;212,6;31;55,4;11;19,6
"Ameland";0;0;0;0;0;0
"Amersfoort";192;122,1;56;35,6;23;14,6
"Amstelveen";297;323,9;55;60;34;37,1
"Amsterdam";2107;241,4;580;66,5;224;25,7
"Apeldoorn";365;222,8;70;42,7;46;28,1
"Appingedam";5;42,9;3;25,8;0;0
"Arnhem";267;165,5;66;40,9;23;14,3
"Assen";42;61,2;12;17,5;2;2,9
"Asten";73;436,2;18;107,6;11;65,7
"Baarle-Nassau";21;306,1;7;102;2;29,2
"Baarn";55;221,1;11;44,2;8;32,2
"Barendrecht";116;238,1;37;76;12;24,6
"Barneveld";111;187,9;18;30,5;6;10,2
"Beek";42;264,7;15;94,5;5;31,5
"Beekdaelen";156;433,6;49;136,2;21;58,4
"Beemster";9;89,8;4;39,9;1;10
"Beesel";41;304,1;20;148,3;8;59,3
"Berg en Dal";148;423;28;80;15;42,9
"Bergeijk";50;268,3;17;91,2;4;21,5
"Bergen (L.)";23;175,8;7;53,5;2;15,3
"Bergen (NH.)";52;174,2;17;57;3;10,1
"Bergen op Zoom";112;166;22;32,6;9;13,3
"Berkelland";70;160;10;22,9;7;16
"Bernheze";263;841,7;97;310,4;63;201,6
"Best";66;220,1;31;103,4;10;33,4
"Beuningen";62;239,5;18;69,5;5;19,3
"Beverwijk";70;168,2;15;36;9;21,6
"Bladel";59;289,3;19;93,2;8;39,2
"Blaricum";26;225,4;8;69,3;2;17,3
"Bloemendaal";46;195,2;7;29,7;5;21,2
"Bodegraven-Reeuwijk";48;137,7;7;20,1;1;2,9
"Boekel";88;816;35;324,6;21;194,7
"Borger-Odoorn";9;35,2;4;15,7;3;11,7
"Borne";49;210,2;14;60,1;6;25,7
"Borsele";22;96,8;5;22;0;0
"Boxmeer";113;384,7;18;61,3;24;81,7
"Boxtel";69;224;24;77,9;12;39
"Breda";450;244,2;143;77,6;59;32
"Brielle";31;179,4;11;63,7;0;0
"Bronckhorst";69;191,4;17;47,2;6;16,6
"Brummen";32;154,2;16;77,1;5;24,1
"Brunssum";88;316,4;42;151;13;46,7
"Bunnik";38;250,1;9;59,2;1;6,6
"Bunschoten";60;274,4;9;41,2;7;32
"Buren";46;172;16;59,8;6;22,4
"Capelle aan den IJssel";261;388,7;45;67;50;74,5
"Castricum";74;205,6;14;38,9;9;25
"Coevorden";56;158,7;13;36,8;1;2,8
"Cranendonck";163;770,1;62;292,9;35;165,4
"Cuijk";68;270,5;11;43,8;9;35,8
"Culemborg";58;200,3;21;72,5;7;24,2
"Dalfsen";77;269,4;16;56;6;21
"Dantumadiel";6;31,7;2;10,6;0;0
"De Bilt";137;317,7;24;55,7;16;37,1
"De Fryske Marren";57;110,5;15;29,1;5;9,7
"De Ronde Venen";90;202,4;39;87,7;10;22,5
"De Wolden";44;180,9;11;45,2;2;8,2
"Delft";129;124,4;38;36,7;10;9,6
"Delfzijl";17;68,9;6;24,3;0;0
"Den Helder";37;65,7;12;21,3;1;1,8
"Deurne";150;461,9;52;160,1;21;64,7
"Deventer";234;232,3;45;44,7;30;29,8
"Diemen";89;289,1;17;55,2;14;45,5
"Dinkelland";71;268,2;19;71,8;9;34
"Doesburg";32;288,9;9;81,2;6;54,2
"Doetinchem";91;156,9;21;36,2;15;25,9
"Dongen";74;282,2;19;72,4;11;41,9
"Dordrecht";278;233;81;67,9;25;21
"Drechterland";43;218,1;4;20,3;8;40,6
"Drimmelen";63;231;18;66;7;25,7
"Dronten";108;259,8;29;69,8;11;26,5
"Druten";111;586,7;24;126,9;8;42,3
"Duiven";45;179,1;14;55,7;6;23,9
"Echt-Susteren";86;272;39;123,3;15;47,4
"Edam-Volendam";84;232;21;58;3;8,3
"Ede";194;165,6;54;46,1;20;17,1
"Eemnes";14;151,4;2;21,6;1;10,8
"Eersel";61;315,8;25;129,4;9;46,6
"Eijsden-Margraten";152;590,2;52;201,9;26;101
"Eindhoven";457;194,9;166;70,8;78;33,3
"Elburg";119;513,8;24;103,6;8;34,5
"Emmen";101;94,3;20;18,7;10;9,3
"Enkhuizen";29;156;18;96,8;4;21,5
"Enschede";193;120,8;52;32,6;18;11,3
"Epe";130;391,7;40;120,5;19;57,3
"Ermelo";118;437;24;88,9;15;55,5
"Etten-Leur";167;380,6;41;93,4;27;61,5
"Geertruidenberg";42;195;11;51,1;6;27,9
"Geldrop-Mierlo";103;259,2;32;80,5;16;40,3
"Gemert-Bakel";172;559,8;76;247,4;30;97,6
"Gennep";54;319,1;16;94,5;10;59,1
"Gilze en Rijen";73;276,1;18;68,1;15;56,7
"Goeree-Overflakkee";252;503,5;54;107,9;31;61,9
"Goes";69;181,2;11;28,9;10;26,3
"Goirle";69;288,6;29;121,3;17;71,1
"Gooise Meren";99;170,6;23;39,6;8;13,8
"Gorinchem";143;386,4;17;45,9;14;37,8
"Gouda";229;311,8;36;49;37;50,4
"Grave";67;538,7;21;168,9;10;80,4
"Groningen";162;69,6;18;7,7;3;1,3
"Gulpen-Wittem";73;515;21;148,1;13;91,7
"Haaksbergen";53;218;14;57,6;6;24,7
"Haaren";44;306,2;18;125,3;7;48,7
"Haarlem";255;156,5;60;36,8;50;30,7
"Haarlemmermeer";224;143,6;63;40,4;23;14,7
"Halderberge";53;175,1;13;42,9;6;19,8
"Hardenberg";170;279;23;37,7;8;13,1
"Harderwijk";134;276,7;32;66,1;15;31
"Hardinxveld-Giessendam";30;164;1;5,5;2;10,9
"Harlingen";16;101,8;4;25,4;1;6,4
"Hattem";41;335,7;12;98,3;5;40,9
"Heemskerk";79;201,6;25;63,8;9;23
"Heemstede";88;323,1;10;36,7;31;113,8
"Heerde";184;989,9;46;247,5;28;150,6
"Heerenveen";87;172,3;13;25,7;19;37,6
"Heerhugowaard";138;239,6;27;46,9;8;13,9
"Heerlen";340;390,5;120;137,8;49;56,3
"Heeze-Leende";58;359,1;15;92,9;8;49,5
"Heiloo";45;187,7;9;37,5;7;29,2
"Hellendoorn";92;256,1;8;22,3;9;25,1
"Hellevoetsluis";61;151,9;14;34,9;2;5
"Helmond";327;353,8;108;116,8;40;43,3
"Hendrik-Ido-Ambacht";40;128,2;8;25,6;4;12,8
"Hengelo";115;141,7;21;25,9;18;22,2
"Het Hogeland";29;60,6;7;14,6;3;6,3
"Heumen";68;413,4;17;103,3;8;48,6
"Heusden";134;299,8;45;100,7;20;44,7
"Hillegom";30;135,1;7;31,5;2;9
"Hilvarenbeek";38;244,9;7;45,1;5;32,2
"Hilversum";174;191,5;28;30,8;22;24,2
"Hoeksche Waard";281;321,3;74;84,6;20;22,9
"Hof van Twente";61;174,2;15;42,8;4;11,4
"Hollands Kroon";60;123,9;26;53,7;6;12,4
"Hoogeveen";86;154,4;19;34,1;7;12,6
"Hoorn";87;118,8;34;46,4;12;16,4
"Horst aan de Maas";120;282,8;41;96,6;23;54,2
"Houten";122;243,3;24;47,9;12;23,9
"Huizen";116;281,1;20;48,5;9;21,8
"Hulst";29;105,2;9;32,7;4;14,5
"IJsselstein";130;381,1;35;102,6;31;90,9
"Kaag en Braassem";26;95,2;6;22;2;7,3
"Kampen";322;592,6;59;108,6;26;47,8
"Kapelle";22;173,4;3;23,6;1;7,9
"Katwijk";183;278,3;26;39,5;12;18,2
"Kerkrade";187;408,8;63;137,7;28;61,2
"Koggenland";34;149,4;6;26,4;6;26,4
"Krimpen aan den IJssel";67;226,9;9;30,5;7;23,7
"Krimpenerwaard";143;253,9;44;78,1;21;37,3
"Laarbeek";110;488,2;38;168,7;26;115,4
"Landerd";137;870,9;39;247,9;21;133,5
"Landgraaf";131;349,7;53;141,5;12;32
"Landsmeer";23;200,1;3;26,1;3;26,1
"Langedijk";43;152,7;16;56,8;2;7,1
"Lansingerland";169;270,9;40;64,1;19;30,5
"Laren";24;212,9;8;71;2;17,7
"Leeuwarden";53;42,7;33;26,6;6;4,8
"Leiden";135;107,8;39;31,2;16;12,8
"Leiderdorp";30;110,9;12;44,3;6;22,2
"Leidschendam-Voorburg";96;125,4;19;24,8;13;17
"Lelystad";157;199,7;62;78,9;24;30,5
